id,title,company,location,salary_min,salary_max,description,year,apply_url
CES-DISA-12841712-26-DJB,SUPV IT SPECIALIST (DATAMGT/PLCYPLN),Defense Information Systems Agency,"Fort Meade, Maryland",167603,195200,This position is being recruited under 10 USC 1599f into the Cyber Excepted Service and does NOT convey eligibility to be converted to the Competitive Service. It has been identified as a position necessary to carry out and support the mission of the US Cyber Command. It is in the Supervision/Management Work Category at the Expert Work Level within the CES Occupational Structure. It is located in the DISA - JOINT FORCES HEADQUARTERS - DODIN.,2020,https://www.usajobs.gov:443/job/851813100
DFAS-DHA-IN-12837405-26,IT CYBERSECURITY SPECIALIST (DATAMGT/INFOSEC),Defense Finance and Accounting Service,"Indianapolis, Indiana",106365,138276,"Who may apply: All US Citizens Position located in the I&T Directorate, Payroll Services, Civilian Pay, ZTBAC This job announcement may be used to fill similar positions in the I&T Directorate.",2020,https://www.usajobs.gov:443/job/851444300
FTA.TSO-2026-0005,Program Manager (Safety Data) SME (Open to both U.S. Citizens and Federal Employees),Federal Transit Administration,"Washington, District of Columbia",142488,185234,"This position is in the Safety Assurance and Risk Management Division, Office of Transit Safety & Oversight, Federal Transit Administration. The selected candidate will serve as a program manager fostering continuous improvement in transit safety through advanced research and analysis. The selected candidate will facilitate working groups, manage research projects, and lead efforts to collect, manage, analyze, and report transit safety data to inform leadership decision-making.",2020,https://www.usajobs.gov:443/job/851454900
8J-DCIPS-12847503-990087-SG,INTELLIGENCE SPECIALIST,Department of the Air Force - Agency Wide,"Salt Lake City, Utah",88621,115213,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to provide the United States Air Force an intelligence operations specialists, experts in the fields of intelligence and operations security (OPSEC). The incumbent will act as an advisor and assist the senior intelligence operations specialists on all intelligence and operations security matters.",2020,https://www.usajobs.gov:443/job/851985400
DHRADMDC-26-12848843-MP,Policy and Program Analyst,Defense Human Resources Activity,"Seaside, California",142488,185234,"This position is part of the Defense Human Resources Activity. The incumbent will be responsible for analysis, development, research, and special studies for matters impacting a diverse portfolio of human resources information technology. Responsibilities include support for correspondence, policy, issuances, congressional and legislative affairs, and strategic planning..",2020,https://www.usajobs.gov:443/job/852114100
EOP-OA-12837362-26-HHL,IT Project Manager,Office of Administration,"District of Columbia, District of Columbia",142488,185234,"This position is located in the Office of the Chief of Information Technology (OAIT) within the Office of Administration (OA). The incumbent serves as technical project manager for data systems, providing expertise for advanced initiatives involving the design, implementation, and operation of enterprise data management solutions. To apply, please submit your resume directly to DL.OA.OAIT.Hiring@oa.eop.gov. Please include the announcement number and position title in your email subject line.",2020,https://www.usajobs.gov:443/job/851269900
USTC-26-12845580-MP,Financial Management Specialist,"Air Force Elements, U.S. Transportation Command","Scott AFB, Illinois",51228,118136,"This position is part of the Air Force Elements, U.S. Transportation Command. As a Financial Management Specialist - Remediation Specialist (SYSTEMS) the incumbent will provide assistance and guidance concerning accounting data and systems deficiencies.",2020,https://www.usajobs.gov:443/job/851588700
Q2-2025-0045,Product Manager,Technology Transformation Service,"San Francisco, California",148871,195200,"As an IT Specialist, Agency Title: Product Manager, you will serve as a senior expert in data, system, infrastructure, and/or interactions security and works with multiple federal agencies migrating legacy systems to modern IT solutions, ensuring information security. We are currently filling multiple vacancies.",2020,https://www.usajobs.gov:443/job/851844600
CBST-12828846-26-RC,Medical Records Technician (Cancer Registrar),Veterans Health Administration,"Fayetteville, Arkansas",36825,107536,Serves within the VISN 16 South Central VA Health Care Network Health Care Systems. The Cancer Registrar is responsible for abstracting and coding clinical data from patient medical records using appropriate classification systems and analyzing health records according to published governmental standards. Data entry is also required by the certified cancer registrar.,2020,https://www.usajobs.gov:443/job/849781600
OCE-2025-416,Business Financial Analyst,Architect of the Capitol,"Washington, District of Columbia",120579,156755,"This position is located in the Architect of the Capitol (AOC), Office of the Chief Engineer (OCE). This position focuses on budget, financial, accounting, reporting, data, and financial systems in order to support OCE’s fiscal needs.",2020,https://www.usajobs.gov:443/job/851230700
CARZ-12843737-26-EKO,Health Science Specialist- Research Study Coordinator,Veterans Health Administration,"Syracuse, New York",61111,96116,"This position is located within the Research and Development Service at the VA Medical Center in Syracuse, NY. The Health Science Specialist - Research Study Coordinator is fully responsible to manage clinical tests, collect data, recruit, manage subjects for clinical trials, and provide high level technical support of projects in a comprehensive research setting.",2020,https://www.usajobs.gov:443/job/851801900
CBSR-12845632-26-MG,Clinical Pharmacy Specialist,Veterans Health Administration,"Detroit, Michigan",152952,198841,"The two-page Resume requirement does not apply to this occupational series. For more information, refer to ""Required Documents"" below. The Informatics Pharmacist is administratively responsible for the assessment, design, integration, maintenance, and analysis of data delivery of Pharmacy Informatics and Pharmacy computerized systems, to include oversight of the daily operations of technical, analytical pharmacy automated data processing and management information systems.",2020,https://www.usajobs.gov:443/job/851777900
20250910-202026-NE-KA-DHA,"Procurement Analyst, GS-1102-11/12 - Direct Hire",U.S. Coast Guard,"Elizabeth City, North Carolina",75038,116925,"This vacancy is for a GS-1102-11/12, Procurement Analyst, GS-1102-11/12 - Direct Hire located in the Department of Homeland Security, U.S. Coast Guard, ALC CHIEF OF CONTRACTING OFFICE -COCO in Elizabeth City, North Carolin",2020,https://www.usajobs.gov:443/job/851847900
9N-AFPC-12846654-043417-AH,HUMAN RESOURCES SPECIALIST (INFO SYS),"U.S. Air Forces, Europe","Ramstein, Germany",63163,82108,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to: Serve as administrator and technical expert for the Military Personnel Flight's (MPF) Military Personnel Data Systems (MILPDS) and Air Force Integrated Pay and Personnel System (AFIPPS) once implemented.",2020,https://www.usajobs.gov:443/job/851772100
FTA.TSO-2026-0002,Program Manager (Safety Risk Management) - SME (Open to both U.S. Citizens and Federal Employees),Federal Transit Administration,"Washington, District of Columbia",142488,185234,"This position is in the Safety Assurance and Risk Management Division, Office of Transit Safety & Oversight, Federal Transit Administration. As a program manager you will foster continuous improvement in transit safety through management of the Safety Risk Management program, manage the transit safety risk management portfolio, analyze safety data, and develop written products and presentations to inform leadership decision-making.",2020,https://www.usajobs.gov:443/job/851080700
AFMC-200302-12841785-SEW,SUPPLY SYSTEMS ANALYST-Direct Hire Authority,Air Force Materiel Command,"Eglin AFB, Florida",40332,96116,"Veterans' preference does not apply to DHA recruitment. Click on ""Learn more about this agency"" button below for more information. The primary purpose of this position is to to analyze, develop, evaluate or promote improvements in the policies, plans, methods, procedures, systems or techniques of the supply system for the 96th Logistics Readiness Squadron and to ensure senior level management is provided with current statistical data to make essential management decisions.",2020,https://www.usajobs.gov:443/job/851269100
CBSV-12845614-26-JC,Medical Records Technician (Coder),Veterans Health Administration,"Spokane, Washington",55617,72307,"NOTE: The 2-page Resume requirement does not apply to this position. For more information, refer to Required Documents below. This position is aligned under the Health Administration Service (HAS) within the Health Information Management (HIM) section at the Mann Grandstaff VA Medical Center. The Medical Records Technician (Coder) is responsible for abstracting medical record data and assigning codes using current clinical classification systems appropriate for the type of care provided.",2020,https://www.usajobs.gov:443/job/851659900
26-04(DE),Supervisory Toxicologist or Supervisory Chemist (Forensic),Pretrial Services Agency,"Washington, District of Columbia",142488,185234,"The Pretrial Services Agency for the District of Columbia is looking for an individual to serve as the Deputy Laboratory Director who performs the full range of forensic screening and confirmation analyses to detect drug use and provide interpretation of data, drug pharmacokinetics and drug pharmacodynamics to the Court and Pretrial Services Agency and Court Services & Offender Supervision Agency Staff. This announcement may be used to fill additional vacancies",2020,https://www.usajobs.gov:443/job/851803200
26-03(MP),Supervisory Toxicologist or Supervisory Chemist (Forensic),Pretrial Services Agency,"Washington, District of Columbia",142488,185234,"The Pretrial Services Agency for the District of Columbia is looking for an individual to serve as the Deputy Laboratory Director who performs the full range of forensic screening and confirmation analyses to detect drug use and provide interpretation of data, drug pharmacokinetics and drug pharmacodynamics to the Court and Pretrial Services Agency and Court Services & Offender Supervision Agency Staff. This announcement may be used to fill additional vacancies.",2020,https://www.usajobs.gov:443/job/851802800
CBTA-12846985-26-JAW,MEDICAL RECORDS TECHNICIAN (Inpatient/Outpatient Coder),Veterans Health Administration,"Anywhere in the U.S. (remote job), United States",55328,71932,The 2-page Resume requirement does not apply to this occupational series. See Required Documents below. This position is in the Health Information Management (HIM) section at the Charles George VA Medical Center. The Medical Records Technician (Coder) is responsible for abstracting medical record data and assigning codes using current clinical classification systems appropriate for the type of care provided. A RECRUITMENT/RELOCATION INCENTIVE MAY BE AUTHORIZED TO HIGHLY QUALIFIED APPLICANTS,2020,https://www.usajobs.gov:443/job/851869800
HN-12844030-26-KB,Supervisory Medical Records Technician (Coder-Inpatient),Veterans Health Administration,"Hines, Illinois",75230,97796,"This position is located in the Health Information Management (HIM) section at the Edward Hines Jr. VA Hospital. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers. These coding practitioners analyze and abstract patients' health records, and assign alpha-numeric codes for each diagnosis and procedure.",2020,https://www.usajobs.gov:443/job/851927700
CMS-OIT-26-12842221-DH,Full Stack Engineer,Centers for Medicare & Medicaid Services,"Woodlawn, Maryland",125133,162672,"This position is located in the Department of Health & Human Services (HHS), Centers for Medicare & Medicaid Services (CMS), Office of Information Technology (OIT), Enterprise Architecture and Data Group (EADG). As a IT Specialist (SYSANALYS) referred to here as a Full Stack Engineer, GS-2210-15, you will serve as the principal technical authority and strategic advisor for full-stack application development, enterprise integration, and CMS IT modernization initiatives.",2020,https://www.usajobs.gov:443/job/851680400
CMS-OIT-26-12845385-PPP,Full Stack Engineer,Centers for Medicare & Medicaid Services,"Woodlawn, Maryland",125133,162672,"This position is located in the Department of Health & Human Services (HHS), Centers for Medicare & Medicaid Services (CMS), Office of Information Technology (OIT), Enterprise Architecture and Data Group (EADG). As a IT Specialist (SYSANALYS) referred to here as a Full Stack Engineer, GS-2210-15, you will serve as the principal technical authority and strategic advisor for full-stack application development, enterprise integration, and CMS IT modernization initiatives.",2020,https://www.usajobs.gov:443/job/851680800
CBSR-12846937-26-ET,Pharmacist (Facility Program Manager),Veterans Health Administration,"Saginaw, Michigan",141600,184083,"The incumbent is responsible for the operation of the pharmacy automated data processing and management information systems across the Saginaw VA Health Care System campus and associated VA Clinics. The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below",2020,https://www.usajobs.gov:443/job/851910100
CAZM-12848436-26-EMG,Health Technician (Telehealth Clinical) (Advanced),Veterans Health Administration,"El Paso, Texas",49960,64952,"Provides support, training & management of telehealth operations. Duties include: delivering established telehealth competency based training, supports clinical telehealth encounters for patient & provider by serving as the tele-presenter, functioning as an imager & supporting clinical data for telehealth store & forward applications, managing real time clinical telehealth events, providing established patient education & technical & administrative support of telehealth operations.",2020,https://www.usajobs.gov:443/job/852217000
CBTE-12841360-26-SJ,Supervisor Medical Records Technician (CODER),Veterans Health Administration,"Syracuse, New York",67297,87482,"This position is located in the Health Information Management (HIM) section at the Syracuse VA Medical Center. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, alpha-numeric codes for each diagnosis and procedure.",2020,https://www.usajobs.gov:443/job/850938800
IA-12845975-AF-26-041,HR SPEC (MILITARY) (Title 5),Air National Guard Units,"Sioux City, Iowa",49960,79443,"IOWA AIR NATIONAL GUARD - TITLE 5 EXCEPTED SERVICE POSITION Open to current employees of the 185th ARW Iowa Air National Guard (Military Technician, Title 5, DSG). Military membership is not required. LOCATION: 185th ARW, Sioux City, IA",2020,https://www.usajobs.gov:443/job/851700600
TS-26-12837841-LP-DE,Seasonal - Biological Science Technician (Fish),U.S. Fish and Wildlife Service,"Anchorage, Alaska",27.07,35.19,"These positions are Biological Science Technician (Fish), GS-0404-7. In addition to the yearly salary, this position is entitled to a cost-of-living allowance (COLA). This allowance is subject to annual review, adjustment, and rate decrease. Anchorage, AK and Fairbanks, AK 1.49% COLA Soldotna, AK 3.00% COLA",2020,https://www.usajobs.gov:443/job/851735300
CBSV-12843175-26-JC,Supervisory Medical Records Technician (Coder),Veterans Health Administration,"Anchorage, Alaska",76092,298917,"NOTE: The 2-page Resume requirement does not apply to this position. For more information, refer to Required Documents below. This position is located in the Health Information Management (HIM) section at the Alaska VA Medical Center. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers.",2020,https://www.usajobs.gov:443/job/851319500
CAZM-12843389-26-YM,Health Technician (Audiology),Veterans Health Administration,"San Antonio, Texas",36578,59303,"The Health Technician (Audiology) (HTA) position is aligned with the Audiology and Speech Pathology Service with duties and responsibilities carried out throughout the medical center, including all clinical and other patient areas involved with the service. This position is located at Data Point VA Clinic 8410 Data Point Drive, San Antonio, Texas 78229-3220.",2020,https://www.usajobs.gov:443/job/851274600
CBTF-12845002-26-YK,Medical Support Assistant (Advanced),Veterans Health Administration,"Washington, District of Columbia",58517,76069,"Advanced Medical Support Assistant (AMSA) includes serving as an initial point of contact for the units, clinics, patient, call centers, to include, but not limited to, scheduling patient appointments, tracking, reviewing, and responding to electronic orders, consults, and other elements in the electronic medical record and medical systems. Requires a practical knowledge of computerized data entry, information processing systems and software related to patient care, and medical terminology.",2020,https://www.usajobs.gov:443/job/851876300
CBSV-12846507-26-AH,Medical Records Technician (Coder-Inpatient),Veterans Health Administration,"Portland, Oregon",38842,77506,"MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers. These coding practitioners analyze and abstract patients' health records and assign alpha-numeric codes for each diagnosis and procedure.",2020,https://www.usajobs.gov:443/job/851739700
CBSV-12846506-26-AH,Medical Records Technician (Coder-Inpatient),Veterans Health Administration,"Portland, Oregon",38842,77506,"MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers. These coding practitioners analyze and abstract patients' health records and assign alpha-numeric codes for each diagnosis and procedure.",2020,https://www.usajobs.gov:443/job/851739900
CBSR-12847752-26-HB,Supervisory Dietitian (Food Operations),Veterans Health Administration,"Cincinnati, Ohio",92308,120006,"The Supervisory Dietitian (Food Operations) assignment provides expert supervision of a complex Veteran-Centric food operation which consist of four distinct sections (Informatics, Food Service, Production, Nutrition Communication Center). They are an essential part of the NFS executive leadership team. Supervisory Dietitian make decision based on intricate and unrelated information and assumptions from inconclusive or variable data related to food operations.",2020,https://www.usajobs.gov:443/job/851979000
CBTF-12845003-26-YK,Medical Support Assistant (Advanced),Veterans Health Administration,"Washington, District of Columbia",58517,76069,"Advanced Medical Support Assistant (AMSA) includes serving as an initial point of contact for the units, clinics, patient, call centers, to include, but not limited to, scheduling patient appointments, tracking, reviewing, and responding to electronic orders, consults, and other elements in the electronic medical record and medical systems. Requires a practical knowledge of computerized data entry, information processing systems and software related to patient care, and medical terminology.",2020,https://www.usajobs.gov:443/job/851876800
CBSR-12844225-26-LL,Medical Records Technician (Coder Outpatient),Veterans Health Administration,"Columbus, Ohio",37616,75060,"This position is in the Health Information Management (HIM) section of Patient Business Services (PBS) at the Columbus VA Ambulatory Care Center. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers",2020,https://www.usajobs.gov:443/job/851811800
CBSY-12845493-26-MN,Medical Records Technician (Coder-Outpatient and Inpatient),Veterans Health Administration,"Fargo, North Dakota",36825,71932,This position is in the Health Information Management (HIM) section of the Health Administration Service at the Fargo Health Care System. The Medical Records Technician (Coder) is responsible for abstracting medical record data and assigning codes using current clinical classification systems appropriate for the type of care provided.,2020,https://www.usajobs.gov:443/job/851690800
CBSV-12848276-26-ML,Registered Nurse (Emergency Department),Veterans Health Administration,"Seattle, Washington",86421,159605,"The Emergency Department Registered Nurse is responsible and accountable for all elements of the nursing process when providing care. They assess the patient by collecting pertinent data or information, including the triage of patients based on the five-level triage system to prioritize patients that require more immediate care.",2020,https://www.usajobs.gov:443/job/852096500
AZ-12838474-26-NW-26-045TF,HUMAN RESOURCES SPECIALIST (MILITARY) T32,Air National Guard Units,"Phoenix, Arizona",63925,83101,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a HUMAN RESOURCES SPECIALIST (MILITARY) T32,PDD1622000 and is part of the AZ 161st Air Refueling Wing, National Guard.",2020,https://www.usajobs.gov:443/job/851774200
CAZM-12842025-26-AC,Licensed Practical / Licensed Vocational Nurse (Primary / Specialty Care Float),Veterans Health Administration,"San Antonio, Texas",48885,88965,"At the full performance level (GS-6), delivers comprehensive patient care by collecting histories, recording vitals, completing clinical reminders, assisting exams, and administering medications. Monitors conditions, reports changes, supports complex procedures, and responds to urgent needs. Educates patients, mentors junior staff, protects sensitive data, and maintains professionalism in varied, fast-paced, and sometimes high-risk clinical settings",2020,https://www.usajobs.gov:443/job/851337300
CL-12841531-26,SUPERVISORY ACCOUNTING TECHNICIAN,Defense Finance and Accounting Service,"Cleveland, Ohio",52167,75109,"This job announcement uses the Subject Matter Expert Panel Assessment to evaluate applicants. This announcement will be used to fill positions at the entry grade level of GS-07 with promotion potential at the GS-08, or at the Full Performance Level GS-08. To view pay rates in a specific location visit the OPM pay tables at https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/",2020,https://www.usajobs.gov:443/job/851406400
CBTE-12848502-26-TC,Medical Records Technician (Coder-Inpatient),Veterans Health Administration,"East Orange, New Jersey",65202,84769,"This position is in Health Information Management Service (HIMS) within the Business Office at the VANJMC located at the East Orange campus. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers.",2020,https://www.usajobs.gov:443/job/852086700
WA-12845914-AF-26-0019,PRODUCTION CONTROLLER (AUTOMOTIVE),Air National Guard Units,"Fairchild AFB, Washington",61430,79857,"This is a Washington Air National Guard Title 32 Excepted Service Unit Technician position: PRODUCTION CONTROLLER (AUTOMOTIVE) Location: 141st Logistics Readiness Squadron Fairchild AFB, Washington 99011-9413 Air National Guard Units Appointment Type: Permanent, excepted service Advertised as: ENLISTED May be used to fill one or more vacancies. *Ensure you read this announcement in its entirety, complete all application requirements, and your USA Jobs profile name is accurate*",2020,https://www.usajobs.gov:443/job/851834000
CEDB-26-12837111-MP,Program Manager,U.S. Army Corps of Engineers,"Mobile, Alabama",146481,195200,"About the Position: Serves as Chief, responsible for overall management of the Division Civil Works Program, or Chief, responsible for overall management of the Division Military and Environmental Programs, or Chief, responsible for the overall management of the Programs Support Division (District Support Teams, Data Analytics and scheduling) including Interagency and International Support (IIS).",2020,https://www.usajobs.gov:443/job/851582800
12841605-ADMMM-IMP-25,Management and Program Analyst,Citizenship and Immigration Services,"Camp Springs, Maryland",90025,117034,"Protect your homeland and defend your culture. Join USCIS, America's frontline defense against illegal foreign infiltration and fraud. As a Management and Program Analyst, you will conduct assessments, special studies, and analysis of mail and project data for the mail management program; developing mail policies and operational procedures using knowledge of federal acquisitions including planning, programming, budgeting.",2020,https://www.usajobs.gov:443/job/851680300
CBSW-12839393-26-HR,MEDICAL RECORDS TECH (CODER) A,Veterans Health Administration,"Reno, Nevada",61111,77406,"This position is located in the Health Information Management (HIM) section of the Health Administration Service (HAS) at the VA Sierra Nevada Health Care System. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers *This job will close when we have received 50 applications which may be sooner than the closing date.",2020,https://www.usajobs.gov:443/job/850658500
CBTC-12837075-26-SM,Registered Nurse-Heart Failure Care Manager,Veterans Health Administration,"Orlando, Florida",71557,147033,"The Orlando VA Medical Center is seeking a Heart Failure (HF) Case Manager Registered Nurse (RN) to provide comprehensive care for Veterans with Heart Failure across the Outpatient clinic. The HF RN Case Manager systematically assesses the health status of Veterans, documents related health data in accordance with institutional policy, and identifies risk factors to reduce readmissions while optimizing the course of treatment for complex cardiovascular patients.",2020,https://www.usajobs.gov:443/job/851312200
ML-12840995-26,FINANCIAL MANAGEMENT ANALYST,Defense Finance and Accounting Service,"Indianapolis, Indiana",89447,120222,"This job announcement uses the USA Hire Assessment to evaluate applicants. For more information, visit USA Hire Assessment. The General Schedule (GS) basic pay schedule may vary by geographic locality. To view pay rates in a specific location visit the Office of Personnel Management pay tables at https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/",2020,https://www.usajobs.gov:443/job/851678000
CBSX-12843578-26-JMP,Medical Records Technician (Coder-Outpatient and Inpatient),Veterans Health Administration,"Long Beach, California",44959,71932,"MRTs Coders are skilled in classifying medical data from patient health records in physician offices, group practices, multi-specialty clinics, and specialty centers. These coding practitioners analyze and abstract patients' health records and assign alphanumeric codes for each diagnosis and procedure. REGARDING REMOTE WORK STATUS, PLEASE READ THE DUTIES SECTION OF THIS ANNOUNCEMENT. Welcome to VA Long Beach Tibor Rubin - History",2020,https://www.usajobs.gov:443/job/851396200
ML-12839390-26,FINANCIAL MANAGEMENT ANALYST,Defense Finance and Accounting Service,"Indianapolis, Indiana",106365,142957,"This job announcement uses the USA Hire Assessment to evaluate applicants. For more information, visit USA Hire Assessment. The General Schedule (GS) basic pay schedule may vary by geographic locality. To view pay rates in a specific location visit the Office of Personnel Management pay tables at https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/",2020,https://www.usajobs.gov:443/job/850861100
CBSU-12839554-26-MR,Medical Records Technician-Clinical Documentation Improvement Specialist-Outpatient and Inpatient,Veterans Health Administration,"Grand Junction, Colorado",61111,79443,"This position is located in the Health Information Management (HIM) section at the VA Western Colorado Health Care System. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers. These coding practitioners analyze and abstract patients' health records and assign alpha-numeric codes for each diagnosis and procedure.",2020,https://www.usajobs.gov:443/job/850657500
CBTB-12827449-26-LRD,Medical Records Technician (Coder-Outpatient),Veterans Health Administration,"Augusta, Georgia",36049,71932,"This position is located in the Veterans Health Administration (VHA), Southeast Network (VISN 7), VA Augusta Health Care System in Augusta, Georgia located in the Health Information Management Section (HIMs) of Health Administration Service (HAS). MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers.",2020,https://www.usajobs.gov:443/job/849908600
DESTIMP-12843263-26-VL,Digital Forensic Examiner,Federal Bureau of Investigation,"Phoenix, Arizona",42679,98422,"Are you interested in a career with the FBI as a Digital Forensic Examiner (DFE)? At the Federal Bureau of Investigation (FBI), Digital Forensic Examiners apply their technical skills and experience to preserve and analyze digital evidence related to FBI investigations. As key members of the Computer Analysis and Response Team (CART), Digital Forensic Examiners work with advanced technologies, forensic concepts, software, and tools to solve the Bureau's most challenging cases.",2020,https://www.usajobs.gov:443/job/851245400
12848223-CLM-DE-25,Immigration Services Assistant (Office Automation),Citizenship and Immigration Services,"Columbus, Ohio",42086,54706,"Protect your homeland and defend your culture. Join USCIS, America's frontline defense against illegal foreign infiltration and fraud. As an Immigration Services Assistant (Office Automation), you will support the Adjudication Services Process by assisting Immigration Services Officers, manage files, databases, and correspondence; provide security checks; research and analyze data; prepare reports and provide direct service to customers.",2020,https://www.usajobs.gov:443/job/852109100
