skill_id,skill_name,category,difficulty_level,popularity_score,required_frequency,certification,avg_salary_effect,created_at,updated_at
78,Machine Learning,Statistics,Medium,58,435,trouble Certificate,242,2/17/2022,12/24/2024
79,Data Modeling,Machine Learning,Easy,89,9,summer Certificate,256,6/5/2022,6/17/2025
80,GCP,Data Engineering,Hard,49,488,effect Certificate,500,12/17/2022,1/3/2025
81,Spark,Cloud,Easy,81,58,structure Certificate,239,7/9/2021,1/21/2025
82,Tableau,Programming,Medium,63,196,of Certificate,0,10/25/2022,2/9/2025
83,PowerBI,Machine Learning,Hard,50,99,budget Certificate,40,1/7/2024,7/16/2025
84,GCP,Programming,Easy,5,280,process Certificate,200,4/5/2021,4/13/2025
85,PowerBI,Data Engineering,Medium,59,81,card Certificate,364,10/20/2023,7/1/2025
86,Hadoop,Cloud,Hard,35,266,itself Certificate,13,11/28/2023,7/31/2025
87,Docker,Cloud,Hard,77,63,memory Certificate,399,1/24/2024,2/20/2025
88,Spark,Data Engineering,Hard,88,9,education Certificate,175,7/23/2022,4/24/2025
89,Kubernetes,Visualization,Hard,5,290,show Certificate,453,10/20/2022,11/25/2025
90,Machine Learning,Visualization,Medium,39,147,seat Certificate,170,6/7/2022,5/14/2025
91,Python,Visualization,Medium,48,347,out Certificate,447,5/17/2024,10/21/2025
92,Docker,Data Engineering,Hard,78,209,money Certificate,239,6/20/2024,12/6/2025
93,Azure,Statistics,Easy,63,499,animal Certificate,71,12/2/2022,1/7/2025
94,NLP,Visualization,Medium,16,463,night Certificate,230,6/9/2023,5/23/2025
95,NLP,Statistics,Medium,34,145,make Certificate,488,2/25/2021,12/16/2024
96,Docker,Statistics,Hard,69,320,inside Certificate,57,1/1/2023,4/18/2025
97,Spark,Data Engineering,Hard,47,426,support Certificate,37,11/6/2024,6/4/2025
98,Spark,Statistics,Medium,38,417,major Certificate,94,11/27/2021,9/13/2025
99,Tableau,Programming,Easy,74,461,by Certificate,393,11/8/2021,5/4/2025
100,SQL,Visualization,Hard,40,435,little Certificate,303,8/28/2024,7/27/2025
101,Data Modeling,Cloud,Hard,49,157,clear Certificate,301,2/28/2024,9/4/2025
102,AWS,Visualization,Easy,88,82,crime Certificate,131,9/7/2022,7/8/2025
103,Machine Learning,Machine Learning,Hard,33,463,that Certificate,200,4/22/2024,6/30/2025
104,NLP,Cloud,Hard,77,331,over Certificate,39,7/26/2022,1/9/2025
105,PowerBI,Statistics,Medium,84,66,participant Certificate,214,5/18/2023,4/21/2025
106,Machine Learning,Data Engineering,Hard,75,39,most Certificate,388,5/17/2022,11/12/2025
107,NLP,Visualization,Easy,40,371,hit Certificate,283,12/26/2020,5/21/2025
108,Spark,Statistics,Hard,96,204,keep Certificate,297,2/19/2022,4/27/2025
109,Machine Learning,Data Engineering,Medium,60,249,analysis Certificate,343,6/22/2022,8/6/2025
110,Docker,Cloud,Easy,91,275,serve Certificate,42,6/4/2023,8/13/2025
111,Kubernetes,Visualization,Hard,77,294,collection Certificate,201,9/29/2024,8/12/2025
112,Docker,Cloud,Hard,23,192,billion Certificate,26,1/2/2022,5/25/2025
113,AWS,Programming,Easy,68,47,bring Certificate,280,2/3/2024,2/12/2025
114,Data Modeling,Cloud,Hard,89,145,recent Certificate,298,11/23/2022,2/5/2025
115,Data Modeling,Cloud,Hard,89,305,manager Certificate,91,8/26/2021,11/17/2025
116,Tableau,Programming,Easy,19,191,sort Certificate,365,2/4/2021,12/2/2025
117,Deep Learning,Programming,Medium,4,335,all Certificate,209,1/17/2024,10/13/2025
118,Kubernetes,Data Engineering,Hard,94,183,should Certificate,263,1/28/2021,5/22/2025
119,Python,Cloud,Hard,30,165,treatment Certificate,250,8/7/2022,9/19/2025
120,Azure,Machine Learning,Medium,94,242,professional Certificate,425,2/17/2022,2/4/2025
121,AWS,Cloud,Medium,55,357,our Certificate,185,12/15/2023,7/3/2025
122,Docker,Data Engineering,Easy,15,270,remember Certificate,420,2/6/2021,1/5/2025
123,Hadoop,Machine Learning,Easy,11,359,manager Certificate,232,10/20/2022,3/29/2025
124,Spark,Visualization,Hard,59,476,your Certificate,257,11/9/2023,7/22/2025
125,NLP,Visualization,Hard,4,187,policy Certificate,467,6/25/2024,11/27/2025
126,PowerBI,Visualization,Hard,83,257,draw Certificate,460,5/6/2022,10/19/2025
127,SQL,Machine Learning,Hard,94,319,check Certificate,446,6/23/2021,3/10/2025
128,GCP,Programming,Easy,75,130,standard Certificate,264,6/8/2023,12/24/2024
129,Spark,Cloud,Medium,16,5,we Certificate,33,4/6/2021,1/21/2025
130,Spark,Visualization,Easy,37,310,simple Certificate,37,6/14/2022,9/18/2025
131,AWS,Data Engineering,Hard,67,303,security Certificate,372,4/23/2023,2/5/2025
132,AWS,Visualization,Easy,27,351,condition Certificate,491,3/26/2021,2/4/2025
133,Hadoop,Data Engineering,Medium,30,489,partner Certificate,319,12/27/2023,10/3/2025
134,Docker,Machine Learning,Medium,22,322,carry Certificate,372,8/2/2024,5/20/2025
135,NLP,Data Engineering,Hard,86,440,fire Certificate,101,4/9/2023,1/3/2025
136,Kubernetes,Cloud,Medium,12,184,memory Certificate,374,4/1/2024,9/3/2025
137,Deep Learning,Cloud,Medium,88,66,always Certificate,287,4/23/2021,4/18/2025
138,Machine Learning,Statistics,Medium,5,384,his Certificate,367,12/20/2021,4/8/2025
139,Data Modeling,Visualization,Medium,32,271,process Certificate,244,10/11/2023,7/2/2025
140,Machine Learning,Machine Learning,Hard,57,455,yeah Certificate,469,11/11/2023,8/30/2025
141,Docker,Programming,Easy,53,267,then Certificate,45,4/11/2022,7/2/2025
142,Azure,Data Engineering,Medium,65,460,last Certificate,72,5/13/2021,7/4/2025
143,Spark,Visualization,Medium,80,36,which Certificate,432,11/1/2024,1/16/2025
144,Hadoop,Cloud,Hard,10,82,respond Certificate,192,5/8/2021,8/16/2025
145,GCP,Data Engineering,Hard,39,44,behavior Certificate,105,1/24/2024,5/26/2025
146,Tableau,Data Engineering,Easy,39,381,enough Certificate,98,8/23/2024,6/20/2025
147,Spark,Cloud,Medium,63,199,us Certificate,425,6/14/2021,11/26/2025
148,Docker,Visualization,Easy,78,486,treatment Certificate,202,5/14/2023,7/5/2025
149,Tableau,Cloud,Easy,71,112,project Certificate,167,10/3/2024,2/17/2025
150,Hadoop,Visualization,Easy,51,311,television Certificate,137,2/3/2024,4/17/2025
151,AWS,Machine Learning,Easy,1,407,prepare Certificate,425,1/22/2021,10/7/2025
152,Kubernetes,Programming,Easy,64,305,baby Certificate,87,8/6/2022,12/25/2024
153,Kubernetes,Statistics,Easy,79,388,fine Certificate,220,6/8/2022,6/1/2025
154,NLP,Cloud,Easy,83,219,door Certificate,238,4/4/2021,8/20/2025
155,GCP,Cloud,Easy,6,279,back Certificate,455,8/19/2023,11/15/2025
156,SQL,Data Engineering,Easy,85,250,environment Certificate,62,11/9/2021,7/8/2025
157,Hadoop,Statistics,Medium,40,180,enough Certificate,97,10/16/2021,8/5/2025
158,NLP,Programming,Medium,57,200,name Certificate,351,5/28/2024,2/28/2025
159,SQL,Cloud,Easy,79,416,star Certificate,55,4/2/2023,7/29/2025
160,Docker,Machine Learning,Easy,14,239,job Certificate,389,1/31/2024,1/15/2025
161,Kubernetes,Cloud,Hard,72,287,adult Certificate,209,2/2/2022,12/16/2024
162,SQL,Visualization,Medium,61,475,probably Certificate,154,9/25/2022,10/29/2025
163,NLP,Data Engineering,Medium,23,223,establish Certificate,122,7/21/2024,9/24/2025
164,Data Modeling,Programming,Medium,81,481,best Certificate,99,10/31/2023,3/10/2025
165,SQL,Data Engineering,Hard,86,371,per Certificate,256,9/4/2022,3/16/2025
166,AWS,Cloud,Medium,76,327,four Certificate,444,10/13/2023,3/2/2025
167,PowerBI,Cloud,Easy,24,401,run Certificate,318,1/27/2024,7/6/2025
168,Tableau,Visualization,Easy,36,489,suggest Certificate,56,6/7/2023,4/19/2025
169,SQL,Cloud,Hard,65,244,court Certificate,166,4/23/2022,11/14/2025
170,Kubernetes,Machine Learning,Hard,42,365,three Certificate,413,3/12/2021,6/5/2025
171,SQL,Programming,Hard,30,241,certain Certificate,58,3/23/2021,6/24/2025
172,Docker,Machine Learning,Medium,99,276,reach Certificate,251,2/2/2021,4/29/2025
173,GCP,Visualization,Medium,23,46,business Certificate,109,6/21/2022,1/3/2025
174,Data Modeling,Statistics,Easy,50,499,direction Certificate,332,1/27/2024,2/12/2025
175,Machine Learning,Statistics,Easy,89,133,experience Certificate,355,1/11/2024,7/4/2025
176,Kubernetes,Machine Learning,Medium,63,392,be Certificate,459,7/12/2021,12/28/2024
177,PowerBI,Visualization,Medium,29,448,how Certificate,208,7/8/2023,11/18/2025
178,Python,Cloud,Medium,49,29,maybe Certificate,105,11/29/2023,3/28/2025
179,Spark,Statistics,Easy,10,83,ten Certificate,343,5/18/2021,8/20/2025
180,AWS,Statistics,Easy,43,260,play Certificate,344,11/7/2023,12/7/2025
181,Deep Learning,Machine Learning,Hard,13,78,cost Certificate,65,2/22/2023,6/19/2025
182,GCP,Machine Learning,Hard,43,446,risk Certificate,197,12/4/2022,6/30/2025
183,Data Modeling,Programming,Hard,37,262,political Certificate,110,5/5/2024,3/1/2025
184,Data Modeling,Cloud,Hard,31,300,board Certificate,35,6/10/2021,8/29/2025
185,Hadoop,Visualization,Medium,60,18,entire Certificate,430,7/14/2022,11/10/2025
186,GCP,Statistics,Medium,63,366,prepare Certificate,31,7/19/2023,9/6/2025
187,Kubernetes,Machine Learning,Medium,28,239,speak Certificate,357,9/8/2021,10/31/2025
188,Python,Programming,Easy,50,173,attorney Certificate,198,8/15/2022,4/27/2025
189,Python,Programming,Medium,72,466,anyone Certificate,88,4/28/2022,3/1/2025
190,Hadoop,Cloud,Medium,69,412,fight Certificate,7,4/22/2023,11/27/2025
191,Tableau,Visualization,Hard,5,383,audience Certificate,424,3/18/2023,11/5/2025
192,Python,Visualization,Hard,67,436,born Certificate,55,2/16/2021,7/30/2025
193,Machine Learning,Visualization,Easy,80,163,detail Certificate,346,5/25/2022,4/5/2025
194,Python,Cloud,Easy,13,229,reality Certificate,63,6/7/2022,7/19/2025
195,AWS,Data Engineering,Medium,67,442,happen Certificate,119,9/12/2023,1/4/2025
196,Tableau,Machine Learning,Medium,93,232,surface Certificate,376,7/15/2022,10/30/2025
197,SQL,Data Engineering,Medium,12,87,across Certificate,155,11/10/2024,11/15/2025
198,Tableau,Data Engineering,Easy,99,230,by Certificate,75,3/8/2022,2/23/2025
199,Deep Learning,Cloud,Easy,92,492,training Certificate,49,9/21/2021,8/10/2025
200,AWS,Programming,Hard,33,442,single Certificate,199,2/11/2022,1/8/2025
201,Kubernetes,Visualization,Easy,36,362,leave Certificate,305,4/2/2021,12/17/2024
202,PowerBI,Programming,Hard,31,15,factor Certificate,24,4/6/2021,10/21/2025
203,PowerBI,Cloud,Easy,59,150,catch Certificate,240,2/14/2023,2/23/2025
204,SQL,Programming,Easy,79,332,really Certificate,56,7/10/2024,7/19/2025
205,Spark,Data Engineering,Medium,43,234,might Certificate,367,5/18/2024,7/21/2025
206,Tableau,Statistics,Hard,92,20,become Certificate,92,11/7/2023,12/30/2024
207,GCP,Machine Learning,Medium,41,247,which Certificate,304,7/19/2024,3/5/2025
208,Azure,Machine Learning,Hard,92,424,appear Certificate,136,5/2/2021,4/19/2025
209,Docker,Data Engineering,Hard,96,432,word Certificate,57,12/3/2021,1/19/2025
210,Python,Visualization,Medium,18,193,different Certificate,231,9/28/2022,5/15/2025
211,Data Modeling,Cloud,Medium,85,477,close Certificate,381,4/15/2022,5/9/2025
212,Hadoop,Cloud,Hard,15,461,increase Certificate,40,4/13/2024,5/27/2025
213,Deep Learning,Statistics,Hard,5,239,old Certificate,423,2/21/2021,11/16/2025
214,Kubernetes,Data Engineering,Medium,58,29,fine Certificate,248,10/11/2022,6/13/2025
215,Kubernetes,Machine Learning,Easy,69,400,involve Certificate,360,12/31/2020,4/14/2025
216,Tableau,Data Engineering,Medium,50,199,truth Certificate,336,6/14/2024,10/23/2025
217,Spark,Visualization,Hard,53,273,military Certificate,247,7/11/2021,6/15/2025
218,Deep Learning,Cloud,Easy,50,474,rule Certificate,397,3/19/2022,3/17/2025
219,Python,Data Engineering,Hard,18,160,just Certificate,252,5/17/2024,10/15/2025
220,SQL,Programming,Hard,18,206,like Certificate,89,1/31/2024,7/16/2025
221,AWS,Cloud,Hard,75,402,television Certificate,276,11/7/2022,12/6/2025
222,Data Modeling,Visualization,Medium,63,466,still Certificate,497,9/9/2022,5/17/2025
223,Hadoop,Data Engineering,Hard,97,169,energy Certificate,144,6/11/2021,12/3/2025
224,Docker,Data Engineering,Easy,42,225,ten Certificate,463,10/12/2024,3/5/2025
225,GCP,Data Engineering,Easy,71,227,personal Certificate,79,6/17/2021,5/5/2025
226,SQL,Cloud,Easy,66,255,morning Certificate,380,6/1/2023,9/7/2025
227,GCP,Cloud,Hard,42,69,same Certificate,265,10/23/2021,9/8/2025
228,Machine Learning,Programming,Hard,16,495,score Certificate,482,7/20/2024,11/27/2025
229,Kubernetes,Statistics,Easy,10,188,pay Certificate,453,9/6/2023,3/27/2025
230,GCP,Machine Learning,Hard,7,140,deep Certificate,278,5/16/2023,6/23/2025
231,Data Modeling,Statistics,Medium,58,187,maybe Certificate,340,5/1/2021,9/25/2025
232,Data Modeling,Data Engineering,Easy,85,181,newspaper Certificate,288,7/25/2022,1/28/2025
233,GCP,Cloud,Hard,4,17,main Certificate,180,7/19/2024,5/28/2025
234,Python,Cloud,Easy,57,84,station Certificate,205,5/19/2023,11/28/2025
235,NLP,Visualization,Medium,6,115,very Certificate,103,10/17/2022,12/12/2024
236,PowerBI,Machine Learning,Hard,58,178,within Certificate,204,10/22/2022,7/20/2025
237,Tableau,Visualization,Easy,63,261,together Certificate,154,3/2/2023,9/25/2025
238,SQL,Cloud,Medium,39,49,help Certificate,457,12/15/2021,10/24/2025
239,Machine Learning,Statistics,Easy,22,7,cold Certificate,120,3/6/2023,8/14/2025
240,Hadoop,Data Engineering,Hard,80,305,coach Certificate,428,9/29/2024,5/27/2025
241,Azure,Visualization,Hard,22,406,base Certificate,161,7/6/2021,3/16/2025
242,Deep Learning,Cloud,Medium,12,330,mission Certificate,447,1/21/2021,12/17/2024
243,Azure,Cloud,Easy,12,500,experience Certificate,328,11/23/2023,7/20/2025
244,Azure,Visualization,Hard,78,73,agreement Certificate,424,8/4/2022,9/27/2025
245,Kubernetes,Data Engineering,Medium,94,482,hope Certificate,389,4/2/2023,11/18/2025
246,Docker,Cloud,Easy,57,95,feeling Certificate,405,4/29/2021,3/3/2025
247,Kubernetes,Statistics,Medium,100,275,ten Certificate,412,11/28/2022,4/22/2025
248,GCP,Visualization,Easy,62,475,bar Certificate,49,3/21/2024,5/15/2025
249,Machine Learning,Programming,Hard,78,377,pull Certificate,206,8/23/2022,8/12/2025
250,Spark,Programming,Medium,45,259,behind Certificate,412,10/1/2022,5/17/2025
251,Kubernetes,Machine Learning,Hard,69,118,only Certificate,50,3/8/2024,12/20/2024
252,Tableau,Machine Learning,Easy,99,118,pull Certificate,147,7/12/2021,3/19/2025
253,Kubernetes,Statistics,Easy,38,162,reach Certificate,77,9/30/2023,8/23/2025
254,Tableau,Data Engineering,Medium,95,127,heavy Certificate,136,6/15/2021,10/14/2025
255,Hadoop,Visualization,Medium,37,123,want Certificate,250,1/12/2023,2/5/2025
256,GCP,Machine Learning,Hard,6,307,call Certificate,422,8/18/2024,11/30/2025
257,PowerBI,Statistics,Easy,71,139,fly Certificate,451,5/8/2024,9/26/2025
258,Python,Programming,Medium,3,340,possible Certificate,182,10/1/2021,11/11/2025
259,Kubernetes,Programming,Medium,70,265,cut Certificate,427,12/12/2023,11/26/2025
260,Data Modeling,Programming,Easy,91,369,local Certificate,446,6/26/2022,4/30/2025
261,GCP,Data Engineering,Hard,12,97,popular Certificate,465,11/25/2024,8/20/2025
262,Tableau,Data Engineering,Medium,31,189,positive Certificate,389,3/3/2021,6/1/2025
263,Spark,Machine Learning,Easy,57,39,idea Certificate,75,6/10/2023,4/21/2025
264,Deep Learning,Cloud,Medium,49,168,in Certificate,380,3/21/2024,1/30/2025
265,Python,Programming,Hard,29,89,lose Certificate,196,3/22/2024,11/26/2025
266,GCP,Statistics,Hard,20,240,box Certificate,487,2/14/2022,7/9/2025
267,Data Modeling,Visualization,Easy,43,500,itself Certificate,259,5/21/2023,12/22/2024
268,Data Modeling,Cloud,Easy,50,223,field Certificate,139,7/13/2021,12/18/2024
269,Docker,Cloud,Medium,3,384,back Certificate,281,8/18/2024,5/25/2025
270,AWS,Cloud,Easy,42,50,something Certificate,336,2/15/2023,6/6/2025
271,Spark,Visualization,Medium,95,497,majority Certificate,277,6/21/2021,11/24/2025
272,Kubernetes,Cloud,Hard,91,415,reality Certificate,323,2/19/2021,8/10/2025
273,Deep Learning,Statistics,Hard,77,232,city Certificate,331,11/14/2022,7/12/2025
274,GCP,Programming,Medium,76,249,visit Certificate,133,4/8/2021,8/20/2025
275,Azure,Visualization,Medium,89,164,part Certificate,419,9/28/2023,8/6/2025
276,PowerBI,Machine Learning,Easy,75,283,discover Certificate,482,3/27/2023,7/22/2025
277,Tableau,Programming,Hard,6,170,morning Certificate,59,7/25/2022,4/26/2025
278,NLP,Machine Learning,Hard,25,294,that Certificate,484,9/11/2022,12/13/2024
279,Docker,Machine Learning,Easy,6,471,me Certificate,35,2/22/2021,8/29/2025
280,Data Modeling,Programming,Easy,26,279,throughout Certificate,101,12/27/2021,12/31/2024
281,Kubernetes,Programming,Medium,96,469,pull Certificate,392,1/3/2022,5/30/2025
282,Tableau,Machine Learning,Hard,1,209,myself Certificate,498,10/8/2021,11/21/2025
283,Hadoop,Machine Learning,Medium,41,437,current Certificate,389,4/12/2022,11/19/2025
284,Machine Learning,Machine Learning,Medium,86,125,right Certificate,121,1/22/2023,7/20/2025
285,Python,Statistics,Hard,11,90,coach Certificate,50,8/14/2022,3/27/2025
286,Azure,Machine Learning,Medium,40,279,light Certificate,434,1/16/2022,7/7/2025
287,SQL,Cloud,Easy,91,296,political Certificate,37,10/28/2024,8/17/2025
288,AWS,Programming,Medium,35,246,rise Certificate,80,4/7/2023,11/29/2025
289,AWS,Cloud,Easy,75,197,commercial Certificate,121,10/3/2021,11/27/2025
290,NLP,Statistics,Hard,63,121,national Certificate,4,10/19/2023,1/23/2025
291,Data Modeling,Programming,Medium,66,106,within Certificate,152,1/3/2022,6/5/2025
292,Python,Cloud,Easy,39,110,soon Certificate,76,1/30/2022,1/4/2025
293,Spark,Programming,Medium,87,277,teacher Certificate,253,4/11/2023,8/5/2025
294,NLP,Statistics,Easy,19,164,few Certificate,141,7/9/2024,12/20/2024
295,Docker,Cloud,Medium,7,401,show Certificate,355,10/26/2023,3/6/2025
296,Deep Learning,Statistics,Easy,86,232,author Certificate,26,9/30/2021,10/24/2025
297,PowerBI,Visualization,Hard,82,440,forget Certificate,7,11/14/2024,11/14/2025
298,Hadoop,Cloud,Hard,71,229,message Certificate,387,11/30/2022,6/1/2025
299,PowerBI,Visualization,Hard,82,299,require Certificate,106,5/11/2024,11/19/2025
300,Spark,Machine Learning,Easy,49,184,since Certificate,49,8/5/2021,3/27/2025
301,Python,Statistics,Hard,2,134,bit Certificate,157,7/11/2024,10/4/2025
302,NLP,Machine Learning,Medium,15,54,right Certificate,109,9/7/2022,12/21/2024
303,Python,Data Engineering,Easy,41,197,guess Certificate,465,2/27/2024,3/2/2025
304,Spark,Machine Learning,Medium,82,428,rock Certificate,405,10/6/2023,6/3/2025
305,Data Modeling,Programming,Medium,71,109,occur Certificate,159,10/31/2024,10/25/2025
306,Docker,Statistics,Easy,87,415,fast Certificate,473,5/10/2021,9/13/2025
307,GCP,Visualization,Hard,48,140,month Certificate,252,9/18/2023,4/10/2025
308,PowerBI,Programming,Hard,42,161,appear Certificate,260,2/3/2023,10/3/2025
309,Azure,Machine Learning,Easy,29,47,full Certificate,107,1/4/2022,2/2/2025
310,Spark,Machine Learning,Medium,61,474,capital Certificate,380,6/10/2024,3/2/2025
311,Tableau,Machine Learning,Easy,82,460,outside Certificate,250,6/22/2024,1/21/2025
312,NLP,Visualization,Easy,43,68,college Certificate,269,7/17/2022,3/15/2025
313,NLP,Visualization,Hard,75,362,citizen Certificate,396,4/19/2021,8/25/2025
314,Hadoop,Statistics,Easy,34,9,cut Certificate,474,2/24/2021,12/4/2025
315,PowerBI,Visualization,Medium,35,29,recently Certificate,277,4/7/2022,8/11/2025
316,Python,Machine Learning,Medium,73,309,choose Certificate,414,2/7/2024,2/12/2025
317,Spark,Programming,Medium,98,437,reveal Certificate,139,10/9/2023,11/29/2025
318,Spark,Data Engineering,Medium,90,5,with Certificate,30,6/17/2022,7/15/2025
319,Tableau,Visualization,Easy,18,358,onto Certificate,310,8/27/2023,9/3/2025
320,Azure,Programming,Easy,81,478,provide Certificate,131,3/28/2024,5/31/2025
321,Tableau,Programming,Hard,73,370,whole Certificate,74,10/14/2022,11/2/2025
