location_id,city,district,region,latitude,longitude,cost_index,avg_salary_level,population,remote_friendly
48,Hanoi,Exactly,North,16.073579,108.779267,114,2499,9791406,FALSE
49,HCMC,Major,South,12.027112,105.307766,63,1821,174316,TRUE
50,Da Nang,Expect,Central,18.630228,106.775654,67,1475,1593320,TRUE
51,Da Nang,Remember,Central,11.997868,106.510461,132,1468,373771,FALSE
52,Hanoi,Brother,North,12.421074,105.147761,90,1145,1109330,FALSE
53,HCMC,Form,South,18.59075,108.656613,129,2400,8885860,FALSE
54,Can Tho,Tree,Central,21.9568,105.364748,120,1811,6792123,TRUE
55,HCMC,Create,South,19.712648,107.60476,137,1133,9782872,FALSE
56,Hai Phong,President,North,18.938406,107.576801,140,2411,9976157,TRUE
57,Can Tho,Management,Central,20.057592,108.286694,66,2253,3154394,FALSE
58,Hai Phong,Speak,North,18.912074,105.05431,138,2346,8634839,TRUE
59,Hanoi,Relationship,North,17.603264,105.204737,136,1281,5120795,FALSE
60,Da Nang,About,Central,14.384061,109.320928,119,1241,1491864,FALSE
61,Hai Phong,Heart,North,16.01376,108.232666,121,2381,1051107,FALSE
62,HCMC,Serious,South,21.431795,107.059348,61,2250,3666828,TRUE
63,Hai Phong,Hear,North,20.661674,107.87887,130,1905,2273208,FALSE
64,Hanoi,Day,North,17.704096,105.953088,140,2799,6050344,TRUE
65,Hai Phong,Deal,North,19.802505,105.2051,73,1748,3985354,TRUE
66,Hanoi,Hour,North,17.483004,108.182329,140,932,8874609,TRUE
67,Hanoi,Sit,North,12.457467,107.843462,81,938,9352879,FALSE
68,Hai Phong,Game,North,12.320017,107.560862,133,2265,3367986,FALSE
69,Hai Phong,Treatment,North,17.168363,106.716578,104,935,5552261,TRUE
70,Da Nang,Reveal,Central,12.839219,105.581926,71,2846,3862313,FALSE
71,Hanoi,Discover,North,17.190927,106.243494,135,1078,9224090,TRUE
72,Hanoi,Thousand,North,16.559717,106.785795,89,2290,9673883,FALSE
73,Can Tho,Success,Central,18.754304,106.921219,71,1450,3311827,FALSE
74,Hai Phong,Situation,North,19.850526,109.574865,61,938,5908622,FALSE
75,Hai Phong,TRUE,North,17.753149,108.828096,134,2147,7371661,FALSE
76,Can Tho,Each,Central,13.325398,105.035223,103,2345,7116715,TRUE
77,Hai Phong,Else,North,15.85097,108.461694,75,1324,2992792,TRUE
78,HCMC,Explain,South,10.875021,108.548185,87,2084,5426833,FALSE
79,Hai Phong,Give,North,11.362335,107.517078,130,2299,7368096,TRUE
80,Can Tho,House,Central,12.63486,105.687078,138,1920,889135,TRUE
81,Hanoi,Machine,North,19.135074,106.375012,136,2484,6734692,FALSE
82,Hanoi,And,North,16.120967,109.271825,114,2439,8011276,TRUE
83,Hai Phong,Live,North,18.162272,105.490503,124,1156,5335843,FALSE
84,Can Tho,Behavior,Central,17.473067,105.721719,61,2799,4530900,TRUE
85,Hai Phong,Quality,North,11.125178,109.677845,79,1794,1866013,FALSE
86,Da Nang,Fact,Central,14.003167,105.683019,76,1585,9630034,FALSE
87,HCMC,Tough,South,15.455217,107.865116,93,1241,1800791,TRUE
88,Hanoi,Yet,North,17.509286,109.976298,117,2906,312290,TRUE
89,Can Tho,Around,Central,13.92825,107.928003,105,2735,3731593,FALSE
90,Can Tho,Key,Central,14.984839,106.229317,65,2590,4709952,FALSE
91,Da Nang,International,Central,19.732265,105.549435,135,2509,5256343,FALSE
92,Hai Phong,Big,North,16.302735,106.065894,102,848,6870419,FALSE
93,HCMC,International,South,20.068441,109.347516,86,1923,1246133,TRUE
94,Da Nang,Letter,Central,18.127606,106.602589,65,866,1976099,FALSE
95,Hai Phong,Last,North,18.104274,105.811923,109,1600,299175,TRUE
96,HCMC,Past,South,11.924187,108.180174,133,2680,3373240,TRUE
97,HCMC,Main,South,16.470445,107.089286,116,2319,3865561,TRUE
98,HCMC,Which,South,13.029805,109.113253,108,2121,3096698,TRUE
99,Can Tho,Election,Central,15.450556,108.99625,85,2194,9381216,TRUE
100,Hai Phong,Popular,North,16.712811,106.402538,101,2617,743241,TRUE
101,HCMC,General,South,14.632794,108.073847,124,1656,874013,TRUE
102,Da Nang,Save,Central,14.990703,105.615892,94,1460,7238873,TRUE
103,Da Nang,Clearly,Central,21.905437,105.805511,127,1768,1756342,FALSE
104,Hanoi,Chance,North,11.248404,108.336476,89,2296,7837201,FALSE
105,Hai Phong,Part,North,10.234439,106.915735,111,2474,2512518,TRUE
106,Hanoi,Top,North,13.7437,108.083527,121,2402,7111138,TRUE
107,HCMC,Girl,South,18.774284,107.104919,81,1667,2970257,TRUE
108,Hanoi,Work,North,15.464188,105.513719,121,2852,6512983,TRUE
109,Hai Phong,Administration,North,21.359051,106.825181,93,2727,2093530,TRUE
110,Can Tho,Successful,Central,16.350484,109.115235,124,2245,1746721,TRUE
111,Hai Phong,Class,North,18.335012,106.365494,60,2971,8011048,TRUE
112,Hai Phong,Life,North,11.428596,107.458202,105,1998,3513127,TRUE
113,Hanoi,After,North,18.193376,105.602708,135,2175,4230560,FALSE
114,HCMC,My,South,16.947293,108.536504,101,2373,3780223,TRUE
115,Hanoi,Both,North,16.881883,108.60214,135,2563,4812124,FALSE
116,Da Nang,Speech,Central,17.429839,108.927431,101,2398,9896857,TRUE
117,Hai Phong,Price,North,21.076764,106.175288,85,1249,4197585,FALSE
118,Hanoi,Bill,North,12.745458,108.133104,79,2798,5589796,FALSE
119,Da Nang,Media,Central,11.326237,109.442539,120,2631,3713791,TRUE
120,Da Nang,Suddenly,Central,18.866511,106.273119,133,2893,5477899,FALSE
121,HCMC,Decide,South,18.953761,109.789122,84,2555,7219724,TRUE
122,Hanoi,Air,North,10.508649,109.606452,86,1640,2079354,TRUE
123,Da Nang,Personal,Central,19.029557,106.215685,60,2659,1898853,TRUE
124,HCMC,Indicate,South,12.948029,108.140877,78,1477,7751614,FALSE
125,Hai Phong,Simple,North,20.793045,108.653817,83,1193,6620135,TRUE
126,Hai Phong,Per,North,12.535722,108.415717,77,2985,3959049,TRUE
127,Can Tho,Size,Central,20.185131,108.888725,138,1989,463441,TRUE
128,HCMC,Only,South,21.838892,106.260728,114,2930,5453640,FALSE
129,Can Tho,Reach,Central,17.534515,106.04314,78,1176,7190311,FALSE
130,Da Nang,Not,Central,18.547256,107.30579,109,2079,1247694,FALSE
131,Hanoi,Worry,North,14.566673,109.441361,76,2096,695495,TRUE
132,Can Tho,Today,Central,13.291294,108.290535,123,2814,4274329,TRUE
133,Da Nang,Role,Central,21.240901,105.370151,105,2337,1032304,FALSE
134,Da Nang,Rise,Central,15.106784,105.104224,108,2372,3829341,TRUE
135,Can Tho,Magazine,Central,14.68467,106.486356,102,1920,3490947,TRUE
136,Can Tho,Three,Central,12.284798,106.466463,117,1719,7967654,TRUE
137,HCMC,Manager,South,16.72548,109.892603,82,1958,4061880,TRUE
138,Hai Phong,Big,North,16.097534,109.454281,136,1919,2586698,FALSE
139,Can Tho,Science,Central,10.635717,106.247913,84,1475,6849121,TRUE
140,Da Nang,Police,Central,19.223406,109.4813,92,1937,3218861,TRUE
141,Hanoi,Player,North,21.03082,105.36944,114,2112,8920329,TRUE
142,HCMC,Present,South,13.973584,107.488675,100,2178,3612996,FALSE
143,Hanoi,Year,North,21.722662,108.823977,117,1442,5487866,TRUE
144,Da Nang,Who,Central,14.829959,107.948508,132,2380,412106,TRUE
145,Hanoi,Four,North,21.430073,107.895094,69,1923,3272334,FALSE
146,HCMC,Prevent,South,11.002545,106.459387,106,1558,3384985,FALSE
147,Hanoi,Factor,North,17.470801,109.175027,79,2274,5097444,TRUE
148,HCMC,Soon,South,13.800185,108.673855,118,1180,4532907,FALSE
149,HCMC,Information,South,19.24424,109.118318,123,1766,7813348,FALSE
150,Hanoi,Five,North,16.469102,108.496708,123,1078,4893392,TRUE
151,Can Tho,Space,Central,13.235692,105.761564,113,2541,9263548,FALSE
152,Da Nang,Third,Central,11.807619,109.816431,126,2108,1351522,TRUE
153,Da Nang,Simply,Central,19.401615,107.378273,82,2612,4574961,TRUE
154,Can Tho,Wrong,Central,19.777042,106.606137,119,1473,1191414,TRUE
155,Da Nang,Religious,Central,12.669197,108.115085,79,1441,1377417,FALSE
156,Hai Phong,Account,North,17.47566,105.304774,90,823,4933063,FALSE
157,HCMC,Simple,South,18.956385,107.062734,104,2955,6869684,FALSE
158,Da Nang,Doctor,Central,10.989828,109.348582,101,2953,2750587,FALSE
159,HCMC,Sea,South,17.831936,106.424264,73,2271,3315208,FALSE
160,Da Nang,Leader,Central,11.309788,105.430065,137,2506,5158683,TRUE
161,HCMC,Scientist,South,15.559474,105.871694,103,1541,1322610,FALSE
162,Hanoi,Teach,North,12.821357,107.106226,82,1440,3135611,TRUE
163,Can Tho,Reality,Central,21.518801,109.816962,99,2048,5950702,FALSE
164,Hanoi,Government,North,20.161804,106.00461,67,1594,4810580,TRUE
165,Hanoi,Series,North,20.557859,105.073463,62,2162,2445471,FALSE
166,Can Tho,Over,Central,14.164279,106.906395,136,1022,4515643,FALSE
167,Hanoi,Similar,North,11.49188,107.898131,90,1021,3706906,TRUE
168,Hanoi,Fly,North,10.323349,106.871767,65,1554,8279810,TRUE
169,Hanoi,Program,North,15.038838,108.097217,91,1084,8939147,FALSE
170,HCMC,Anyone,South,14.709584,109.362082,81,2786,9411828,FALSE
171,Da Nang,Suddenly,Central,15.018627,107.268967,102,1318,7790963,FALSE
172,Hai Phong,Several,North,12.734542,108.458953,69,2278,3064765,FALSE
173,Can Tho,Movie,Central,12.816568,108.894482,70,865,2485436,FALSE
174,Can Tho,Newspaper,Central,21.397573,106.570003,61,2758,809007,TRUE
175,Can Tho,Concern,Central,21.481094,108.536486,65,2962,8205004,FALSE
176,Da Nang,He,Central,10.142057,109.551845,133,1704,1971519,TRUE
177,HCMC,Standard,South,19.708202,105.70288,119,2529,1915533,FALSE
178,Da Nang,Significant,Central,14.934372,105.377873,85,2353,7856890,FALSE
179,Can Tho,Recent,Central,18.797229,106.911266,60,1275,3540236,FALSE
180,HCMC,Use,South,16.249804,108.686061,106,2760,3757450,TRUE
181,Da Nang,Citizen,Central,16.900803,105.054606,140,973,3111476,FALSE
182,Can Tho,Debate,Central,16.0301,107.122254,85,2881,9220442,FALSE
183,Da Nang,Stand,Central,12.930521,105.018505,139,2733,8962293,FALSE
184,Hai Phong,In,North,11.906344,105.572833,70,1055,8580770,FALSE
185,Da Nang,Guess,Central,15.168599,105.802711,132,925,8703692,TRUE
186,Can Tho,Democrat,Central,10.413129,108.815362,74,2130,9580019,TRUE
187,HCMC,Store,South,14.716024,108.792628,126,2460,5186150,FALSE
188,Hanoi,Truth,North,17.420082,109.918685,127,2701,6176977,FALSE
189,HCMC,Beat,South,16.009278,105.140848,132,1314,1867405,FALSE
190,Hanoi,Expect,North,11.451208,108.326223,86,2285,4120615,TRUE
191,HCMC,Let,South,12.554307,106.947465,72,1722,5309361,FALSE
192,Da Nang,Oil,Central,17.112259,106.698916,106,857,6116970,FALSE
193,Da Nang,Little,Central,15.665762,108.213044,121,2492,5998492,TRUE
194,HCMC,Alone,South,13.587105,106.703315,135,1683,8023371,FALSE
195,Hai Phong,Effect,North,12.057036,105.995622,72,960,6023257,TRUE
196,Hanoi,Program,North,13.887257,108.998564,113,1550,8130864,FALSE
197,HCMC,Stand,South,13.060703,109.355627,83,1434,1788655,TRUE
198,Can Tho,Total,Central,10.883121,108.882179,110,1916,1778980,TRUE
199,Da Nang,Maybe,Central,20.445461,109.250507,121,2281,101397,TRUE
200,Can Tho,Full,Central,19.071539,105.075242,72,1030,300288,TRUE
201,Can Tho,Popular,Central,15.554663,109.156349,61,1065,4470775,TRUE
202,Can Tho,Common,Central,12.139466,106.784406,134,2798,9670814,TRUE
203,Hanoi,Tax,North,18.536651,105.015634,139,2741,1912930,FALSE
204,Can Tho,Career,Central,14.136395,106.406674,86,1810,756874,TRUE
205,Can Tho,Vote,Central,21.07658,105.58896,78,1519,8535395,TRUE
206,Can Tho,Or,Central,10.928787,105.682753,78,2636,8262428,FALSE
207,HCMC,Mrs,South,11.084321,107.681922,132,1663,2903501,FALSE
208,Can Tho,Have,Central,15.407607,108.715716,81,970,2662272,FALSE
209,Da Nang,Weight,Central,21.1441,109.58982,134,2861,1394070,TRUE
210,Can Tho,Interview,Central,17.382518,107.07639,126,1905,9587490,TRUE
211,HCMC,Hundred,South,20.403305,105.417049,92,2083,7781678,FALSE
212,Hai Phong,Economy,North,11.087156,108.46389,128,2096,5174446,FALSE
213,HCMC,Address,South,16.56393,105.907594,125,2970,4910429,FALSE
214,HCMC,Beautiful,South,15.471779,109.914433,104,1484,9426785,TRUE
215,Da Nang,Father,Central,20.845096,106.75948,60,2333,5045513,TRUE
216,Can Tho,Knowledge,Central,17.025116,109.20537,103,1826,876984,TRUE
217,Hai Phong,Although,North,18.547016,105.817031,87,987,7916892,TRUE
218,HCMC,National,South,15.523786,108.758129,72,1835,9355032,TRUE
219,Can Tho,Air,Central,18.02781,108.237848,64,2636,4445165,FALSE
220,Can Tho,Friend,Central,21.477953,109.655992,120,982,2466940,FALSE
221,Hai Phong,Factor,North,14.658236,106.849634,111,2320,2190917,TRUE
222,Hai Phong,Level,North,20.670423,108.85123,69,1189,3600389,TRUE
223,Can Tho,Institution,Central,16.6687,106.112989,100,1011,9944786,TRUE
224,HCMC,Follow,South,15.049857,105.975277,133,2557,3924821,TRUE
225,Da Nang,Great,Central,16.572126,108.200263,134,2752,3818818,FALSE
226,Hanoi,Think,North,16.943746,105.959145,64,2888,9954145,TRUE
227,Hai Phong,Prevent,North,10.720369,106.343515,140,2897,2234265,FALSE
228,Hanoi,Rate,North,14.084634,107.112732,113,871,2977040,TRUE
229,Hai Phong,Government,North,16.228639,105.981233,77,1209,6289787,FALSE
230,Hai Phong,Set,North,19.01803,107.245103,113,1981,4650385,TRUE
231,HCMC,Southern,South,20.270876,108.221319,137,882,3786951,TRUE
232,HCMC,Arrive,South,20.368875,106.833438,117,1266,9631653,TRUE
233,HCMC,Yeah,South,18.065524,107.151348,68,2522,8154781,TRUE
234,Da Nang,Treatment,Central,13.400855,105.058612,140,1901,3701247,TRUE
235,Can Tho,Woman,Central,13.925385,107.88555,124,2582,3384746,FALSE
236,Can Tho,Candidate,Central,14.190709,109.693472,88,1518,7012264,FALSE
237,Da Nang,Adult,Central,15.735378,105.394975,78,2775,1172022,FALSE
238,Da Nang,Rock,Central,15.22679,105.977081,102,1073,6653806,FALSE
239,Can Tho,Hour,Central,12.550932,107.340116,139,843,5090652,FALSE
240,Can Tho,Six,Central,17.702005,107.563233,102,1445,6590399,TRUE
241,Hanoi,Us,North,14.443616,109.337333,135,1850,7498338,FALSE
242,HCMC,Figure,South,14.064682,108.520432,103,2628,1923661,FALSE
243,Hai Phong,Reason,North,15.785404,108.621127,109,1723,7013863,TRUE
244,Hanoi,Certain,North,11.607278,107.368015,138,2494,1636066,TRUE
245,Hai Phong,Take,North,19.486975,107.769318,110,1209,2950983,TRUE
246,Da Nang,Rise,Central,17.575188,109.82548,92,1433,3451350,FALSE
247,Hai Phong,Physical,North,16.286848,108.55533,70,1098,5543201,FALSE
248,Hanoi,Bit,North,16.106528,105.6415,61,2884,5617301,TRUE
249,Da Nang,At,Central,18.064462,109.953425,71,2993,4172776,TRUE
250,Hai Phong,Sound,North,12.796031,106.213327,64,1400,7169129,TRUE
251,HCMC,High,South,18.490311,105.046585,111,2058,2668188,TRUE
252,Hai Phong,Ever,North,11.720653,108.45762,80,2776,2094203,TRUE
253,Da Nang,Respond,Central,14.871283,106.709373,95,1481,9391972,TRUE
254,Hanoi,Hour,North,16.906837,105.943246,113,1616,7910359,FALSE
255,Hanoi,Shake,North,21.473151,109.593552,106,872,8839790,TRUE
256,Da Nang,Section,Central,10.29566,106.897184,136,847,1227833,TRUE
257,HCMC,Skill,South,12.236104,106.346581,71,944,985458,FALSE
258,Hai Phong,Feeling,North,18.022353,108.166961,103,2268,9923322,TRUE
259,Can Tho,Culture,Central,12.403973,109.873694,73,2813,8965337,FALSE
260,Da Nang,Least,Central,20.567868,105.200864,62,1184,2328009,FALSE
261,Hanoi,Six,North,18.304868,105.0942,68,2506,2684588,FALSE
262,Hai Phong,Police,North,18.205738,107.211601,126,1734,4422773,FALSE
263,Hai Phong,Generation,North,16.981234,108.470393,111,2094,7987204,TRUE
264,Can Tho,Improve,Central,18.828384,107.616641,61,2605,6147346,TRUE
265,Hai Phong,Family,North,10.002189,107.811435,103,2349,1022713,FALSE
266,Hai Phong,Important,North,12.213869,106.418188,89,1740,5494452,FALSE
267,Hai Phong,His,North,21.25284,105.613316,130,2492,2641478,TRUE
268,HCMC,Firm,South,19.406571,109.106142,63,2902,6230877,TRUE
269,HCMC,Bill,South,12.158012,109.196561,109,2378,5196715,TRUE
270,Hai Phong,Level,North,16.257917,105.897485,138,1043,2951914,TRUE
271,Da Nang,Decision,Central,20.126508,105.472849,133,1424,5619033,FALSE
272,Hanoi,Entire,North,19.351666,109.721501,104,2086,5504829,FALSE
273,HCMC,Finish,South,16.176666,105.399745,73,2624,7702457,TRUE
274,Hai Phong,Tree,North,15.514952,108.672684,109,2472,8033562,TRUE
275,Can Tho,Analysis,Central,12.261775,105.80801,106,1856,9154047,FALSE
276,Hai Phong,Nearly,North,16.516854,107.016961,128,1426,8813098,TRUE
277,Hanoi,Statement,North,10.480476,106.921626,91,1858,5204935,FALSE
278,Da Nang,Company,Central,15.131744,107.414621,62,2410,6283562,FALSE
279,Da Nang,Heart,Central,10.296484,107.075033,64,923,4297648,TRUE
280,Can Tho,Fear,Central,14.972915,107.372658,101,1936,9057714,FALSE
281,Hai Phong,Wind,North,19.573232,109.306388,134,2573,3429933,TRUE
282,HCMC,North,South,21.700845,107.992686,60,2277,8387638,FALSE
283,Can Tho,Weight,Central,16.22116,108.878314,75,2073,843294,TRUE
284,Hai Phong,Paper,North,13.110222,108.02701,112,1886,7822963,TRUE
285,Hanoi,Just,North,11.436807,106.138352,73,1534,4836661,TRUE
286,Hai Phong,Author,North,13.99657,109.534188,81,1887,9185799,FALSE
287,Hai Phong,Dinner,North,16.702589,108.820103,136,1538,7696115,FALSE
288,Da Nang,Evening,Central,13.958351,107.64782,99,1890,475958,FALSE
289,Da Nang,Single,Central,12.135331,105.182556,74,2797,7348687,TRUE
290,Hai Phong,Bar,North,21.844723,109.960447,61,1365,5265986,TRUE
291,Da Nang,Himself,Central,19.080672,108.04377,86,1112,4543520,FALSE
292,Hanoi,Because,North,11.99341,109.092223,113,2796,719697,FALSE
293,Hai Phong,Everybody,North,19.288743,107.723087,69,2355,8634979,TRUE
294,Hanoi,Firm,North,10.655693,108.693591,98,1044,1883485,FALSE
295,HCMC,Wish,South,12.156356,108.865913,131,2453,347736,FALSE
296,Can Tho,Professor,Central,20.235267,108.005878,87,1608,7456422,TRUE
297,HCMC,Present,South,18.249046,107.252471,116,2473,3021146,TRUE
298,Can Tho,Prevent,Central,15.304293,105.952131,104,2475,908237,FALSE
299,HCMC,Food,South,14.066482,108.045728,138,2195,9394188,TRUE
300,Hai Phong,Stock,North,17.658647,108.984696,94,2338,5919615,TRUE
301,HCMC,Safe,South,16.902592,108.732706,96,2617,3977856,TRUE
302,Da Nang,Idea,Central,10.9554,106.593485,88,1845,4813197,FALSE
303,Hai Phong,Often,North,15.328872,107.549054,81,2420,660774,TRUE
304,Can Tho,Play,Central,10.256514,108.198265,63,1330,6128631,FALSE
305,Da Nang,Middle,Central,14.984167,107.317239,115,1862,6847984,TRUE
306,HCMC,Member,South,10.390223,107.119959,66,2723,3612283,TRUE
307,Can Tho,Police,Central,14.823756,106.301453,81,2685,348254,TRUE
308,Da Nang,Even,Central,10.868606,106.658312,82,2139,2313187,TRUE
309,Da Nang,Close,Central,14.593171,106.037794,66,2450,7710553,TRUE
310,Can Tho,Ground,Central,14.351163,107.165978,91,1874,8245113,FALSE
311,HCMC,Serious,South,17.232493,105.493598,66,1372,6718104,FALSE
312,Hanoi,I,North,14.46682,108.909059,107,2003,6021303,TRUE
313,Hai Phong,Process,North,17.006343,105.916176,68,875,7934072,FALSE
314,Hai Phong,Current,North,17.164577,105.704594,96,1684,4179227,FALSE
315,Da Nang,Contain,Central,16.5209,109.584327,127,813,2762896,FALSE
316,Can Tho,Provide,Central,20.655889,109.647903,104,1755,7171736,TRUE
317,Hanoi,Loss,North,13.309488,108.045724,87,2016,4508695,TRUE
318,Hanoi,Himself,North,15.518257,109.686767,138,2104,8729023,TRUE
319,HCMC,Think,South,15.929122,105.573807,98,2133,9825967,TRUE
320,Da Nang,Significant,Central,17.7294,108.0022,126,1591,5593548,FALSE
321,HCMC,Eye,South,16.11392,109.94385,101,2669,5507575,FALSE
322,Hai Phong,Model,North,14.910961,109.686671,88,2893,5251346,FALSE
323,Hai Phong,Learn,North,12.711414,108.194406,111,2007,5985386,FALSE
324,HCMC,Itself,South,21.071467,107.027624,105,2668,8642776,FALSE
325,Can Tho,Run,Central,10.849453,108.494626,111,2470,1115999,TRUE
326,Da Nang,Method,Central,11.77109,105.943202,97,1701,3664334,FALSE
327,Hanoi,Positive,North,19.700669,108.403545,117,2426,5907444,TRUE
328,Hanoi,Have,North,12.551272,107.915775,126,1051,3352418,TRUE
329,Hanoi,Investment,North,19.894223,106.223268,81,2642,8117209,FALSE
330,HCMC,Paper,South,15.149143,109.788317,86,1048,3929189,FALSE
331,Hanoi,Available,North,16.04957,106.516871,111,1815,2587485,TRUE
332,Hai Phong,Parent,North,15.805475,105.719647,109,1304,2286501,FALSE
333,Can Tho,Reach,Central,18.168954,108.653164,133,2854,4912388,FALSE
334,Can Tho,Fight,Central,15.2528,105.77193,122,2540,6337661,TRUE
335,Da Nang,Company,Central,15.493169,107.035613,134,1016,2210596,TRUE
336,Can Tho,Evidence,Central,20.429423,105.107157,86,2205,9673131,TRUE
337,Hai Phong,Movie,North,18.988835,109.662667,92,1568,5449741,TRUE
338,Hai Phong,Owner,North,21.672683,105.847304,68,1806,1183043,FALSE
339,Can Tho,Ok,Central,11.625031,108.775143,67,1262,1820397,TRUE
340,Can Tho,Those,Central,16.44514,105.535962,117,2825,8134321,TRUE
341,Hanoi,Likely,North,17.894292,105.309612,87,2846,3451171,TRUE
342,HCMC,Trial,South,16.914189,105.059011,77,2681,709227,TRUE
343,Can Tho,Office,Central,15.331742,105.452604,66,2010,1814566,TRUE
344,Can Tho,Same,Central,17.587466,106.549824,67,2024,1787419,FALSE
345,HCMC,Growth,South,20.629859,109.480276,77,2073,6607127,FALSE
346,Can Tho,Across,Central,12.669904,107.054291,114,2875,9463751,FALSE
347,Hai Phong,Want,North,10.744021,105.465935,102,1901,7328716,TRUE
348,Da Nang,Agency,Central,14.568496,107.928895,124,2608,8574615,FALSE
349,HCMC,Official,South,20.483001,109.441388,73,2174,3646514,TRUE
350,HCMC,Save,South,13.913015,106.076043,82,1321,4447603,FALSE
351,Hanoi,Return,North,13.452092,107.537202,129,2583,9672799,TRUE
352,Hai Phong,Soon,North,11.30853,109.549189,93,1462,4745142,TRUE
353,Hai Phong,Country,North,11.773392,105.003415,71,1397,9113402,FALSE
354,Hai Phong,Between,North,15.611694,109.486554,107,2466,6316458,TRUE
355,Da Nang,Animal,Central,12.195495,109.942453,88,2689,7635205,TRUE
356,Da Nang,Amount,Central,14.452756,109.005398,129,2386,8038716,TRUE
357,Da Nang,Walk,Central,11.596475,107.3464,96,1145,4076748,TRUE
358,Hai Phong,Check,North,11.622734,105.627414,105,1101,781843,FALSE
359,Can Tho,Law,Central,19.77061,106.725866,85,949,5946219,TRUE
360,Hanoi,End,North,15.101473,106.644421,64,848,6277132,FALSE
361,Can Tho,Off,Central,13.419284,107.866317,84,2848,5510754,FALSE
362,HCMC,Score,South,20.629986,106.339044,112,1251,2064547,TRUE
363,Hanoi,Than,North,17.846965,108.331054,71,1831,6892139,FALSE
364,Hai Phong,Summer,North,13.69845,109.386466,102,2586,2356937,TRUE
365,Can Tho,Particular,Central,13.055765,108.735579,77,1074,5463449,FALSE
366,Da Nang,Eye,Central,20.432222,107.087491,116,2006,9310929,FALSE
367,Hai Phong,Close,North,10.737611,107.540908,106,2045,4428772,FALSE
