company_id,company_name,size,founded_year,industry,headquarters,website,revenue,rating,hr_contact,last_active
19,"Allen, Robertson and Stevenson",Enterprise (1000+),1993,E-commerce,North Andrewfurt,https://bates.biz,79234177,3.55,dustinsherman@example.net,5/5/2025
20,Richards-Ochoa,Large (300-1000),2010,Telecom,Lake Robertton,https://bishop.info,410489801,3.95,jessica29@example.net,8/4/2025
21,Estes-Lawrence,Medium (51-300),2007,Retail,Johnberg,https://mcconnell.com,212139399,3.25,dana38@example.org,11/19/2025
22,Morris-Dickerson,Enterprise (1000+),1995,Healthcare,Jonathontown,https://campbell-hill.com,307590734,4.2,johnstontodd@example.net,10/18/2025
23,Jackson-Arellano,Large (300-1000),2000,Retail,Smithburgh,https://gonzales-figueroa.com,377271189,4.95,whitecody@example.org,2/11/2025
24,Deleon-Coleman,Small (1-50),2002,E-commerce,West Saraborough,https://reyes.info,2217450,4.99,uhill@example.com,5/17/2025
25,Weaver-Villarreal,Small (1-50),2012,Telecom,Perrychester,https://townsend.com,338967386,3.05,kevin87@example.com,1/25/2025
26,"Carpenter, Franklin and Johnson",Enterprise (1000+),2017,Technology,East Jennifermouth,https://peterson.com,60807960,3.47,myerspam@example.com,2/23/2025
27,Flynn-Gibson,Enterprise (1000+),2007,Technology,West Ashleyshire,https://torres.org,191321692,3.83,pamelacallahan@example.org,12/3/2025
28,"Wolf, Jones and Walter",Medium (51-300),2008,Finance,Wellsside,https://evans.com,296781049,2.59,heberttaylor@example.com,7/16/2025
29,Russell-Walker,Medium (51-300),1996,Healthcare,Cherylhaven,https://ray.com,313380252,3.61,garciacurtis@example.org,4/26/2025
30,"Garcia, Weaver and Galloway",Medium (51-300),2010,Healthcare,Isabelmouth,https://mckinney.com,241887999,3.24,russellannette@example.net,7/14/2025
31,"Zimmerman, Morrison and Kelley",Enterprise (1000+),1992,Retail,Reedstad,https://smith.com,312881051,4.05,richardcontreras@example.net,2/1/2025
32,"Smith, Smith and Miles",Enterprise (1000+),1995,Technology,South Cynthia,https://ramirez-powell.com,261990876,4.98,huntercristian@example.org,6/18/2025
33,Watkins Inc,Large (300-1000),2013,Healthcare,South Maria,https://cook.info,483297766,3.93,srios@example.com,8/3/2025
34,"Mitchell, Webb and Smith",Large (300-1000),1991,Technology,Mayton,https://golden.net,95550363,3.72,cbell@example.com,11/9/2025
35,James Inc,Enterprise (1000+),2015,Retail,Watkinsfort,https://harvey.info,491670901,3.26,ndavis@example.org,8/1/2025
36,"Ramos, Miller and Patel",Enterprise (1000+),2012,Telecom,North Jenniferberg,https://hernandez-wong.biz,251706296,3.49,victorpruitt@example.org,5/30/2025
37,"Sutton, Fleming and Maldonado",Enterprise (1000+),2008,E-commerce,South Kevin,https://schneider.com,388392012,4.1,mooreheather@example.com,2/16/2025
38,"Black, Holland and Riggs",Enterprise (1000+),1994,Telecom,Port Wendy,https://cherry.biz,132751989,3.84,jonathan56@example.net,3/17/2025
39,Hendrix-Long,Medium (51-300),1997,Healthcare,East Patrick,https://allen.com,296400812,3,jerrydavis@example.com,3/1/2025
40,Craig-Hancock,Large (300-1000),1994,Technology,East Andrewside,https://jones.com,20178968,3.59,daniel76@example.com,4/19/2025
41,Young Ltd,Small (1-50),1990,Technology,Port Karen,https://cruz.com,84130907,3.38,cassandramitchell@example.net,2/16/2025
42,Becker-Miller,Small (1-50),1991,E-commerce,Scottport,https://castaneda-hogan.com,111724430,3.01,calvin95@example.net,12/24/2024
43,"Walker, West and Humphrey",Small (1-50),2011,Finance,Pamelafurt,https://walker-henderson.com,391467808,4.52,haleyblair@example.net,11/1/2025
44,Johnson-Foley,Large (300-1000),2008,Healthcare,Kennethfurt,https://williams.com,478487639,2.5,tasha38@example.org,5/17/2025
45,"Roberts, Hamilton and Blake",Small (1-50),1990,Healthcare,North Mary,https://clark.com,456399292,3.93,miguelbowers@example.com,3/23/2025
46,Carrillo-Smith,Medium (51-300),1996,Retail,Williamschester,https://ward-delgado.info,445670809,4.98,valenzuelamichelle@example.org,1/6/2025
47,Chambers Inc,Large (300-1000),2006,Finance,Michaelton,https://brown.com,229805799,3.94,kingstephanie@example.org,4/22/2025
48,"Vaughn, Davis and Jackson",Medium (51-300),1990,E-commerce,North Katelyntown,https://vega.com,80659210,4.58,angela81@example.com,9/2/2025
49,Vargas Ltd,Large (300-1000),2000,E-commerce,East Sarastad,https://james-jones.com,118735056,3.92,blanchardjustin@example.net,12/25/2024
50,"Chen, Freeman and Parker",Enterprise (1000+),1990,Retail,South Brookechester,https://jackson.net,253127167,4.68,ufaulkner@example.org,3/18/2025
51,Bridges LLC,Large (300-1000),1995,E-commerce,South Ashley,https://lane-walker.net,496323761,4.96,amandastephenson@example.com,8/9/2025
52,"Padilla, Simmons and Lopez",Medium (51-300),1996,Finance,Josephshire,https://campbell.biz,433029312,2.77,kathy18@example.com,4/9/2025
53,Hebert LLC,Enterprise (1000+),2011,Telecom,Stevenland,https://mcdonald.com,1739819,2.52,alvarezcrystal@example.com,1/23/2025
54,Flores-James,Large (300-1000),2007,Healthcare,North Willieport,https://smith-pope.com,99704335,3.15,domingueztracy@example.com,5/30/2025
55,Ellison-Thompson,Medium (51-300),2011,E-commerce,Marieberg,https://baker.com,388456421,4.07,williamsjennifer@example.net,6/8/2025
56,"Brown, Carter and Cobb",Enterprise (1000+),2001,Technology,Hendrixborough,https://cantu-hall.com,63492604,4.64,srobinson@example.org,4/13/2025
57,"Morton, Mendez and Perez",Enterprise (1000+),1996,Finance,South Brittany,https://jones.net,410632618,3.99,katrinabyrd@example.org,9/12/2025
58,Powell PLC,Medium (51-300),2002,Telecom,Port Annehaven,https://cox-potts.com,316267179,3.56,fhaley@example.org,4/8/2025
59,Richardson LLC,Enterprise (1000+),2000,Healthcare,East Jessicaton,https://navarro.biz,305781734,4.94,vlopez@example.net,3/11/2025
60,Carter-Matthews,Medium (51-300),2010,Retail,West Emilyshire,https://logan-owens.com,274833521,4.51,teresa36@example.net,4/18/2025
61,"Cooper, Martin and Gill",Small (1-50),2014,Healthcare,East Joshua,https://marquez.biz,281187703,3.81,jenniferrodriguez@example.com,6/8/2025
62,Rose-Drake,Large (300-1000),1994,Finance,Lake Michaeltown,https://parker.com,495688427,3.66,pgutierrez@example.com,10/29/2025
63,"Pope, Bauer and Dalton",Enterprise (1000+),1995,E-commerce,Lake Jenniferfort,https://jones.com,472654090,4.62,kendra22@example.net,10/4/2025
64,Branch-Cox,Small (1-50),2019,E-commerce,Markberg,https://johnson.info,16180161,4.42,marie69@example.com,4/12/2025
65,"Martinez, Graham and Harris",Large (300-1000),1999,Finance,Davischester,https://turner.com,265729293,2.52,weissjesse@example.net,8/4/2025
66,Salas-Little,Large (300-1000),2017,Healthcare,Brandyview,https://little-watts.com,285130850,3.57,rodriguezashley@example.org,10/13/2025
67,Larson-Scott,Small (1-50),2017,Retail,Pooleport,https://long.info,397267553,3.82,jdaniel@example.net,4/18/2025
68,Andersen-Campbell,Medium (51-300),1996,Technology,West Markhaven,https://mclean.com,432547617,4.75,xjohnson@example.org,10/16/2025
69,Russell-Nguyen,Small (1-50),2023,Retail,Hernandezchester,https://harris.biz,240507826,3.75,edgar72@example.net,9/4/2025
70,"Thompson, Rodriguez and Holland",Medium (51-300),2003,Finance,North Darylstad,https://fields-delgado.com,253862701,4.32,cathyrobinson@example.org,10/31/2025
71,Sellers-Stanley,Enterprise (1000+),2013,Technology,South Brandonville,https://hester-miller.com,376983560,3.76,georgemiranda@example.org,7/20/2025
72,"Thompson, Hammond and Reyes",Small (1-50),2002,Telecom,West Ronald,https://conrad.com,445738769,4.2,parsonsanthony@example.net,10/31/2025
73,Wood Inc,Medium (51-300),1992,E-commerce,South Hannahfort,https://rios-calhoun.biz,274256146,3.45,jaimenavarro@example.org,3/22/2025
74,Murphy-Johnson,Small (1-50),2017,Retail,Lake Erinview,https://carroll-butler.com,299223067,3.16,jasonpearson@example.org,10/3/2025
75,"Cortez, Mcintyre and Diaz",Medium (51-300),2022,Telecom,South Brandon,https://morton.net,365021081,3.11,austinryan@example.org,12/17/2024
76,Tyler LLC,Large (300-1000),2020,Finance,Paulstad,https://taylor-orozco.com,306038809,4.88,edwardsnoah@example.org,5/28/2025
77,Gibson and Sons,Medium (51-300),2003,Technology,Kristopherborough,https://sanders.com,259350528,4.6,carrillotodd@example.com,9/20/2025
78,"Sutton, Chan and Martinez",Large (300-1000),2008,Retail,Lake Tamara,https://luna.com,347098429,4.31,vcarter@example.org,6/13/2025
79,Carter Ltd,Large (300-1000),2009,Technology,Michaelchester,https://thompson.com,455416784,4.62,collinsisaac@example.com,9/23/2025
80,Lopez-Robinson,Medium (51-300),2013,Retail,Comptonborough,https://norris.com,190238543,3.19,castillomiranda@example.org,2/11/2025
81,Torres and Sons,Large (300-1000),2006,Finance,Annashire,https://ponce.com,170072313,3.02,olopez@example.org,2/12/2025
82,Ortiz-Ibarra,Medium (51-300),1990,E-commerce,Navarrostad,https://howard.com,78568316,3.02,nathanielgrant@example.net,11/29/2025
83,"Lee, Ferguson and Hunt",Enterprise (1000+),1993,Telecom,Jenniferton,https://nelson.com,442932611,3.26,cassandrachapman@example.net,7/31/2025
84,Robertson-Brown,Medium (51-300),1998,E-commerce,Browntown,https://parks-torres.com,77032645,4.89,kristinking@example.com,7/19/2025
85,"White, Love and Long",Large (300-1000),2012,Telecom,South Danielleville,https://alvarez-martin.com,170760513,4.5,pricesteven@example.net,1/30/2025
86,Collins-Morales,Small (1-50),2023,Telecom,Anthonyberg,https://williamson.com,36401177,2.51,wpalmer@example.org,11/23/2025
87,"Lawson, Andrade and Soto",Large (300-1000),1992,Technology,East Justinburgh,https://lucas.net,412026225,4.99,lewisrobin@example.com,7/8/2025
88,Mcgrath-Serrano,Medium (51-300),2013,Technology,Jonesbury,https://king-nguyen.com,126765827,3.4,thomasmartin@example.net,1/14/2025
89,Morrison and Sons,Large (300-1000),2004,Finance,New Cathyfort,https://carey.info,189460990,2.65,kelly58@example.net,7/22/2025
90,Franco and Sons,Large (300-1000),2019,Healthcare,Port Kellyland,https://hernandez.biz,77181581,4.79,manuelhudson@example.net,6/20/2025
91,Hernandez PLC,Enterprise (1000+),1991,E-commerce,Port Susan,https://cook-boone.info,356309647,4.49,sarah75@example.net,6/19/2025
92,Clark-Garrett,Medium (51-300),1993,E-commerce,Garciaport,https://thomas.biz,27639955,3.52,sdixon@example.com,8/28/2025
93,"Ortega, Soto and Dixon",Large (300-1000),2002,Telecom,South Pattymouth,https://hoover-lee.org,498333391,4.55,mariadodson@example.org,7/5/2025
94,Trujillo-Hanson,Large (300-1000),2022,Telecom,North Angela,https://hernandez.com,50720010,4.45,mary86@example.org,6/10/2025
95,Madden PLC,Enterprise (1000+),2015,Finance,New Amychester,https://alexander.com,498790451,2.86,taylorlinda@example.org,12/30/2024
96,Smith-Wilson,Enterprise (1000+),2021,Telecom,Jenniferfurt,https://martin.com,449163848,4.52,riceconnor@example.net,12/11/2024
97,Alvarez-Sharp,Large (300-1000),2002,Telecom,Brownstad,https://lewis.com,155567088,3.2,tranjennifer@example.net,1/10/2025
98,Lara Group,Large (300-1000),2023,Telecom,Scottview,https://garcia.com,438766502,3.14,danieldavis@example.org,10/1/2025
99,"Nichols, Munoz and Hicks",Medium (51-300),1997,Healthcare,East Brendanshire,https://smith.com,339820018,4.31,vperry@example.org,1/20/2025
100,Franklin-Padilla,Enterprise (1000+),2014,Finance,Danielfort,https://spears-costa.net,126282870,3.26,sjackson@example.org,4/26/2025
101,Chen Ltd,Large (300-1000),2009,E-commerce,Port Maryhaven,https://lynch-johnson.com,320190201,3.69,sandrahall@example.net,10/24/2025
102,Nguyen-Hernandez,Large (300-1000),1991,E-commerce,Port Ricardo,https://baker.com,125610700,3.45,anthony45@example.org,10/30/2025
103,Kelley-Martinez,Enterprise (1000+),2013,Telecom,New Natalie,https://chavez.com,292246477,3.31,sfields@example.net,8/12/2025
104,"Murphy, King and Pruitt",Medium (51-300),2014,Telecom,Lake Anthonychester,https://nelson.com,30272384,3.59,amandameyer@example.org,5/4/2025
105,Young PLC,Large (300-1000),2002,Telecom,Stevenview,https://middleton.com,182672277,4.25,taylor14@example.org,3/16/2025
106,Gibson-Murray,Large (300-1000),2000,Technology,Huntport,https://fisher-lopez.com,424898417,4.02,catherinesanford@example.net,7/16/2025
107,Baker-Mooney,Medium (51-300),1991,Technology,Rachelside,https://santana.info,49426538,3.61,sstevens@example.org,6/3/2025
108,Cooper and Sons,Enterprise (1000+),1995,E-commerce,Port Melissamouth,https://martinez.org,109814146,2.87,dakota11@example.org,11/28/2025
109,Morrison Inc,Medium (51-300),2013,E-commerce,Bethhaven,https://hodges-lopez.com,130573424,3.08,harveykristin@example.com,5/15/2025
110,"Snyder, Johnson and Simpson",Large (300-1000),2009,Technology,Lake Deborahville,https://nelson.com,29215766,3.18,richardcody@example.net,1/21/2025
111,Wilson PLC,Enterprise (1000+),2020,Finance,Suzanneview,https://daniels-curtis.com,35616760,2.98,emilywise@example.org,10/22/2025
112,Webb Ltd,Medium (51-300),2023,Finance,Murphymouth,https://aguirre.net,63167997,3.09,ricelisa@example.net,9/24/2025
113,"Smith, Stewart and James",Medium (51-300),1992,Telecom,Ritashire,https://mullen.com,119029831,2.76,cassandrathomas@example.net,4/23/2025
114,Martin-Miller,Medium (51-300),2011,Technology,Dunnchester,https://martin.com,333709893,3.79,eobrien@example.org,12/17/2024
115,Davis-Henderson,Medium (51-300),1999,Finance,North Judybury,https://walker.net,13827195,4.77,bevans@example.net,1/20/2025
116,Walker-Dunn,Large (300-1000),2000,Telecom,Raymondtown,https://blanchard.com,414645163,4.63,maxmay@example.com,11/8/2025
117,Bush Inc,Medium (51-300),2019,Healthcare,New Rhonda,https://crawford.com,318792517,3.61,brianfoster@example.org,4/17/2025
118,Bowman Group,Medium (51-300),2005,Finance,East Justin,https://larson.org,432517246,4,lwilliams@example.com,1/15/2025
119,Blake Group,Enterprise (1000+),2009,Technology,Port Alyssachester,https://miller-snyder.net,132484904,4.86,victor86@example.org,8/10/2025
120,"Zimmerman, Williams and Williamson",Small (1-50),2008,Retail,Tiffanybury,https://wilson.net,343069091,4.13,ashleymunoz@example.org,3/10/2025
121,Williams-Ponce,Medium (51-300),2021,Retail,South Tracey,https://sullivan.org,487683386,2.99,maryallen@example.net,5/22/2025
122,"Carr, Palmer and Sanchez",Small (1-50),2021,Finance,North Baileyborough,https://allen-duarte.info,447566003,3.94,teresaallison@example.org,7/5/2025
123,Garrett Ltd,Small (1-50),2006,Telecom,Lake Evanshire,https://todd-salinas.com,258400527,3.45,whitneycox@example.org,9/6/2025
124,Cole and Sons,Small (1-50),2004,Telecom,Maryside,https://adams-bray.com,309833427,3.44,ogeorge@example.net,5/1/2025
125,"Edwards, Summers and Cervantes",Enterprise (1000+),1990,Healthcare,Brandonbury,https://williams.net,62293397,4.14,cbrown@example.com,5/2/2025
126,"Davidson, Rodriguez and Jacobson",Medium (51-300),2019,Healthcare,Port Crystalhaven,https://lowe-floyd.net,330464843,2.91,kelseygibbs@example.com,9/14/2025
127,Sanders-Mcdaniel,Large (300-1000),2022,Technology,Lake Aaron,https://cain-knight.com,176950605,4.99,smiller@example.net,9/16/2025
128,"Decker, Gill and Sanchez",Medium (51-300),2011,Healthcare,New Todd,https://waller-mendoza.net,384209733,3.69,joseph84@example.com,1/3/2025
129,"Gates, Butler and Park",Medium (51-300),1995,Healthcare,Alexandriafort,https://garcia.com,24891872,4.6,enguyen@example.com,8/13/2025
130,"Cohen, Jensen and Christensen",Medium (51-300),2022,Telecom,Fergusonville,https://dean-estrada.com,144936581,3.7,richardreed@example.com,1/10/2025
131,Hunter and Sons,Large (300-1000),2014,Retail,Jasonside,https://bush.com,255929492,2.93,usmith@example.net,10/26/2025
132,Allen and Sons,Small (1-50),2013,E-commerce,Brandonhaven,https://stein-campos.org,196076382,3.06,harrislaura@example.com,4/9/2025
133,"Rosales, Yates and Taylor",Medium (51-300),2005,Finance,Brewerburgh,https://miller.net,368487855,4.07,oliviajones@example.com,3/7/2025
134,"Weber, Davidson and Ray",Medium (51-300),2004,Finance,North Stephanieville,https://jimenez.info,267764709,2.62,ujohnson@example.org,4/22/2025
135,Griffin and Sons,Medium (51-300),2008,Technology,South Chad,https://lang.com,270171015,2.96,hendrickssheila@example.org,8/7/2025
136,Garcia LLC,Medium (51-300),2004,Retail,Hamiltonfort,https://berg.biz,261842265,3.23,anthony28@example.com,4/26/2025
137,Clements-Adams,Enterprise (1000+),2018,Retail,Lake Carrieborough,https://horn-macdonald.org,466078046,4.41,chavezhannah@example.com,3/2/2025
138,Craig-Willis,Medium (51-300),2015,Retail,North Debraview,https://love.com,229478940,3.25,sburns@example.org,12/25/2024
139,Maddox-Jenkins,Enterprise (1000+),1999,Retail,Hunttown,https://yoder-hunter.com,248620619,4.2,moralesaaron@example.org,1/3/2025
140,Melendez-Christensen,Medium (51-300),2018,E-commerce,Lake Gloriamouth,https://kelly-johnson.info,269786256,4.55,chris60@example.com,8/27/2025
141,"Carr, Perkins and Stevens",Large (300-1000),2021,E-commerce,Jerryview,https://brown.com,270497900,3.33,josephmay@example.com,9/3/2025
142,Bullock Inc,Small (1-50),1998,Technology,Jacquelineshire,https://ayala.com,5439557,3,gregory55@example.net,10/15/2025
143,Benitez-Schultz,Medium (51-300),2008,E-commerce,Stevenview,https://potter-downs.com,198784481,3.99,stephaniewatson@example.org,3/3/2025
144,Beltran Ltd,Large (300-1000),1996,Finance,Richardmouth,https://guerrero.com,496472958,4.89,alexandraburke@example.org,9/28/2025
145,Meyer-Singh,Large (300-1000),2019,Healthcare,Lake Michaelfort,https://english.com,51019276,4.17,birdjeffrey@example.net,2/10/2025
146,"Cole, Meyer and Ramos",Enterprise (1000+),2019,E-commerce,Ralphmouth,https://hill.biz,110640340,3.98,vsmith@example.org,8/31/2025
147,Garner-Gomez,Enterprise (1000+),2020,Finance,Williamstown,https://garza.com,310848061,3.73,johnbrooks@example.net,1/27/2025
148,"Luna, Yang and Gonzales",Large (300-1000),2005,Healthcare,Gomezfurt,https://miller.org,468123469,4.51,jennifer69@example.com,11/3/2025
149,Mann and Sons,Enterprise (1000+),2012,Healthcare,Frankton,https://hammond.com,148417753,4.44,qgriffith@example.com,2/14/2025
150,Miller-Morales,Enterprise (1000+),2003,Finance,Annborough,https://anderson-cooper.com,367820833,3.56,jonesdouglas@example.net,7/25/2025
151,"Lee, Rocha and Meyer",Large (300-1000),1990,Technology,Lake Davidchester,https://campbell.com,247879907,2.92,rodriguezcynthia@example.org,6/11/2025
152,Santos-Jimenez,Enterprise (1000+),1995,Telecom,New Haleymouth,https://larson.net,212717774,3.06,justin95@example.net,12/2/2025
153,Cooper-Velez,Large (300-1000),2022,Finance,West Donna,https://hall.com,106726966,3.52,pereznicole@example.net,6/25/2025
154,Parker-Martinez,Large (300-1000),2017,Healthcare,Tracymouth,https://mckenzie.com,381823745,2.52,darren21@example.net,10/23/2025
155,Stewart-Carter,Small (1-50),2021,Retail,Richardmouth,https://malone-davis.com,35820639,4.93,berryphilip@example.com,1/22/2025
156,Carter and Sons,Small (1-50),2004,Healthcare,South Edward,https://owens.org,403584585,3.32,boltonkristina@example.com,5/14/2025
157,"Robinson, Vargas and Shepard",Enterprise (1000+),2017,Retail,Garyberg,https://miles.net,107394266,4.55,lmiller@example.org,4/24/2025
158,"Scott, Ray and Fry",Large (300-1000),2016,Technology,Bridgesborough,https://ross-robinson.biz,192277059,4.87,amylane@example.com,9/23/2025
159,"Smith, Schmidt and Wilkins",Medium (51-300),2005,Technology,South Teresamouth,https://morrison.com,187146753,4.26,ahaynes@example.org,12/24/2024
160,Oneill and Sons,Medium (51-300),2008,Finance,Boydtown,https://adkins-hart.com,446972201,2.62,webbelizabeth@example.com,4/22/2025
161,"Moyer, Smith and Nash",Large (300-1000),2005,Telecom,Quinnchester,https://reeves-gallegos.org,325155332,4.79,webbvictoria@example.net,7/25/2025
162,Frey-Little,Medium (51-300),2010,Telecom,Ashleyport,https://brady.com,141138696,3.23,sydneydawson@example.com,5/5/2025
163,Walker LLC,Small (1-50),2009,Healthcare,East Cole,https://blackburn.com,190172669,3.67,lblack@example.com,3/30/2025
164,Watkins-Weber,Medium (51-300),2012,E-commerce,Edwardbury,https://yu.com,329345133,2.54,paul10@example.net,11/24/2025
165,Williams Ltd,Small (1-50),1996,Healthcare,Kristenton,https://perez.net,232020984,4.1,michael15@example.net,3/17/2025
166,Mccoy LLC,Medium (51-300),1994,Technology,Jennymouth,https://cox.com,214401379,4.93,darrellbrown@example.com,9/27/2025
167,Miller-Goodman,Enterprise (1000+),1991,Finance,Aliciafurt,https://fisher.net,419502668,3.49,andrewbuchanan@example.com,9/22/2025
168,"Miles, Bell and Buchanan",Enterprise (1000+),2023,Retail,North Emily,https://gutierrez-brown.com,370841641,3.56,deborahmurray@example.com,2/1/2025
169,"Foster, Mckinney and Perkins",Large (300-1000),2018,Healthcare,Kimberlybury,https://weber-sullivan.com,218418179,2.7,zblair@example.com,1/10/2025
170,"Wall, Dorsey and Day",Enterprise (1000+),2014,Finance,South Jessica,https://trujillo-hutchinson.com,406853454,2.9,anthonysmith@example.net,11/30/2025
171,Johnston-Green,Enterprise (1000+),1992,Technology,North Michelle,https://smith.org,416898015,3.64,xpotts@example.org,11/18/2025
172,"Schwartz, Guzman and Davis",Medium (51-300),2022,Healthcare,East Cristinaville,https://rice-morton.com,190387443,4.23,normanmason@example.com,7/17/2025
173,"Price, Perry and Harrington",Enterprise (1000+),2005,E-commerce,Taylormouth,https://patterson.com,441011823,3.35,kathryn53@example.org,8/20/2025
174,"Carroll, Allen and Mendez",Medium (51-300),2018,E-commerce,Lake Amberburgh,https://whitney.info,403229671,3.46,donald41@example.com,12/5/2025
175,"Bradley, Ortega and Lozano",Small (1-50),2021,Healthcare,North Connor,https://wells.net,423839044,4.65,lauren34@example.org,8/21/2025
176,Wade Group,Enterprise (1000+),2011,Retail,South Laura,https://fox-reyes.com,109156342,3.07,tinajimenez@example.net,4/24/2025
177,Pope-Blackburn,Small (1-50),1997,Finance,Millerfurt,https://trevino-walton.com,460550621,2.61,phall@example.com,8/21/2025
178,Beltran-Robertson,Enterprise (1000+),1991,Retail,New Shannon,https://adams.com,69985114,2.95,bryan80@example.org,3/5/2025
179,"Weaver, Kennedy and Aguilar",Medium (51-300),2001,Finance,Allenborough,https://luna.biz,476802434,4.72,leonardjeremy@example.org,3/14/2025
180,White-Copeland,Medium (51-300),2009,E-commerce,New Paul,https://ochoa-wade.com,54442039,4.05,jacobsjessica@example.net,4/10/2025
181,Wood Group,Medium (51-300),2017,Retail,Grahamside,https://king.org,131807039,2.9,jenkinsjeffery@example.org,8/13/2025
182,"Wood, Silva and Sexton",Medium (51-300),2012,Healthcare,Port Bonnie,https://sampson.com,431464863,3.75,qbell@example.org,1/10/2025
183,Campbell-Johnson,Small (1-50),1997,Finance,Oneillburgh,https://roberts-conrad.com,485509418,2.63,wallacethomas@example.org,9/10/2025
184,Brady-Mccormick,Medium (51-300),2002,Finance,West Jason,https://long.com,196387143,2.62,carlwall@example.com,6/28/2025
185,Brown Group,Small (1-50),1998,E-commerce,Samanthaport,https://williams.org,314842142,2.62,joshua19@example.com,11/22/2025
186,"Ward, Lewis and Hanson",Medium (51-300),2017,E-commerce,West Taylor,https://lopez-davis.com,302432381,4.18,twarner@example.com,2/5/2025
187,Mckee Ltd,Small (1-50),2017,E-commerce,Heidiville,https://parker.info,438521065,2.94,martinezhayley@example.org,12/10/2024
188,Anderson-Velazquez,Large (300-1000),2017,Finance,Jarvischester,https://phillips.com,275467731,3.28,shannonanderson@example.com,11/7/2025
189,Mueller-Colon,Small (1-50),2013,E-commerce,Choiport,https://webb.org,110325673,4.17,juan90@example.net,9/2/2025
190,"Oconnor, Cunningham and Miller",Medium (51-300),1995,Finance,Sarachester,https://martinez-herman.com,162467093,3.52,rschultz@example.org,10/13/2025
191,Turner-Watson,Small (1-50),2015,Telecom,South Jasonburgh,https://hernandez.com,419439224,3.9,sarahbautista@example.net,11/20/2025
192,Reid Ltd,Small (1-50),2013,Retail,Alyssaburgh,https://hensley-kerr.biz,269499358,3.78,murphyalbert@example.net,9/29/2025
193,"Cruz, Lang and Brown",Medium (51-300),2008,Finance,Elizabethside,https://thompson.biz,413991264,4.45,sandra10@example.net,8/13/2025
194,Foster and Sons,Small (1-50),2023,Healthcare,Matthewshaven,https://welch-palmer.info,340070189,3.38,ralph77@example.net,10/28/2025
195,Peterson-Sullivan,Medium (51-300),2009,Telecom,Tracyfort,https://jackson-hall.biz,121174769,4.21,ikelley@example.com,10/13/2025
196,Morgan-Holland,Enterprise (1000+),2021,Telecom,West Jaredview,https://clark.com,269544314,4.48,tfreeman@example.org,10/8/2025
197,"James, Turner and Stevens",Large (300-1000),2007,Telecom,Port Barbara,https://ryan.com,270925076,2.63,alyssawilliams@example.net,12/9/2025
198,"Richards, Haynes and Morse",Enterprise (1000+),2010,Finance,Howardland,https://bowman.biz,203833618,3.82,wilcoxbeth@example.org,2/10/2025
199,"Gates, Johnson and Campbell",Small (1-50),1997,Telecom,Brianville,https://dixon.net,309328446,3.58,nicolemills@example.net,4/9/2025
